product_name,product_link,price,brand,color,care,composition,images
Tailored Fit Stretch Performance Shirt,https://www.marksandspencer.com/tailored-fit-stretch-performance-shirt/p/clp60711791?color=AIRFORCEBLUE,£45,Autograph,"Air Force Blue,Black,White,Pink,Dark Navy,Light Blue,Smokey Green","Wash at 30°C,Do not bleach,Tumble dry low temperature,Iron at low temperature,Do not dry clean","59% polyamide, 41% elastane","https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_0740A_BE_X_EC_0/Tailored-Fit-Stretch-Performance-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_0740A_BE_X_EC_90/Tailored-Fit-Stretch-Performance-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_0740A_BE_X_EC_2/Tailored-Fit-Stretch-Performance-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_0740A_BE_X_EC_3/Tailored-Fit-Stretch-Performance-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_0740A_BE_X_EC_4/Tailored-Fit-Stretch-Performance-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_0740A_BE_X_EC_5/Tailored-Fit-Stretch-Performance-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_0740A_BE_X_EC_6/Tailored-Fit-Stretch-Performance-Shirt"
Cotton Rich Overshirt,https://www.marksandspencer.com/cotton-rich-overshirt/p/clp60707664?color=KHAKI,£40,M&S Collection,"Khaki,Black,Stone,Dark Navy","Wash at 40°C delicate,Do not bleach,Tumble dry medium temperature,Iron at medium temperature,Do not dry clean","99% cotton, 1% elastane (exclusive of trimmings)","https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_KH_X_EC_0/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_KH_X_EC_90/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_KH_X_EC_1/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_KH_X_EC_2/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_KH_X_EC_3/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_KH_X_EC_4/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_KH_X_EC_6/Cotton-Rich-Overshirt"
2pk Regular Fit Easy Iron Check Shirts,https://www.marksandspencer.com/2pk-regular-fit-easy-iron-check-shirts/p/clp60707129,£42,M&S Collection,No color available,"Wash at 40°C delicate,Do not bleach,Tumble dry medium temperature,Iron at medium temperature,Professional dry clean","65% polyester, 35% cotton","https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2152M_E4_X_EC_0/2pk-Regular-Fit-Easy-Iron-Check-Shirts,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2152M_E4_X_EC_90/2pk-Regular-Fit-Easy-Iron-Check-Shirts,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2152M_E4_X_EC_2/2pk-Regular-Fit-Easy-Iron-Check-Shirts,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2152M_E4_X_EC_3/2pk-Regular-Fit-Easy-Iron-Check-Shirts,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2152M_E4_X_EC_4/2pk-Regular-Fit-Easy-Iron-Check-Shirts,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2152M_E4_X_EC_6/2pk-Regular-Fit-Easy-Iron-Check-Shirts"
Regular Fit Cotton Blend Double Cuff Shirt,https://www.marksandspencer.com/regular-fit-easy-iron-cotton-blend-shirt/p/clp60630963,£20,M&S Collection,No color available,"Wash at 40°C delicate,Do not bleach,Tumble dry medium temperature,Iron at medium temperature,Professional dry clean","65% polyester, 35% cotton","https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2266M_Z0_X_EC_0/Regular-Fit-Cotton-Blend-Double-Cuff-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2266M_Z0_X_EC_90/Regular-Fit-Cotton-Blend-Double-Cuff-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2266M_Z0_X_EC_1/Regular-Fit-Cotton-Blend-Double-Cuff-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2266M_Z0_X_EC_2/Regular-Fit-Cotton-Blend-Double-Cuff-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2266M_Z0_X_EC_3/Regular-Fit-Cotton-Blend-Double-Cuff-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2266M_Z0_X_EC_4/Regular-Fit-Cotton-Blend-Double-Cuff-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2266M_Z0_X_EC_5/Regular-Fit-Cotton-Blend-Double-Cuff-Shirt"
3pk Slim Fit Easy Iron Shirts,https://www.marksandspencer.com/3pk-slim-fit-easy-iron-long-sleeve-shirts/p/clp60576712,£49,M&S Collection,No color available,"Wash at 40°C delicate,Do not bleach,Tumble dry medium temperature,Iron at medium temperature,Professional dry clean","65% polyester, 35% cotton","https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2337S_E4_X_EC_0/3pk-Slim-Fit-Easy-Iron-Shirts,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2337S_E4_X_EC_1/3pk-Slim-Fit-Easy-Iron-Shirts,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_2337S_E4_X_EC_6/3pk-Slim-Fit-Easy-Iron-Shirts"
Regular Fit Pure Linen Shirt,https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=COBALT,£45,M&S Collection,"Cobalt,Black,Dark Grey,White,Mole,Conker,Light Stone,Dark Coral,Pale Orange,Pale Yellow,Navy,Chambray,Pale Blue,Dark Green","Wash at 40°C delicate,Do not bleach,Tumble dry medium temperature,Iron at high temperature,Professional dry clean",100% linen,"https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_CB_X_EC_0/Regular-Fit-Pure-Linen-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_CB_X_EC_90/Regular-Fit-Pure-Linen-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_CB_X_EC_1/Regular-Fit-Pure-Linen-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_CB_X_EC_2/Regular-Fit-Pure-Linen-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_CB_X_EC_3/Regular-Fit-Pure-Linen-Shirt"
Cotton Rich Overshirt,https://www.marksandspencer.com/cotton-rich-overshirt/p/clp60707664?color=DARKNAVY,£40,M&S Collection,"Dark Navy,Black,Stone,Khaki","Wash at 40°C delicate,Do not bleach,Tumble dry medium temperature,Iron at medium temperature,Do not dry clean","99% cotton, 1% elastane (exclusive of trimmings)","https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_F3_X_EC_0/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_F3_X_EC_90/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_F3_X_EC_1/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_F3_X_EC_2/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_F3_X_EC_3/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_F3_X_EC_4/Cotton-Rich-Overshirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_2583M_F3_X_EC_7/Cotton-Rich-Overshirt"
Pure Cotton Geometric Print Shirt,https://www.marksandspencer.com/pure-cotton-geometric-print-shirt/p/clp60721981,£32,M&S Collection,No color available,,100% cotton (exclusive of trimmings),"https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_1271M_NB_X_EC_0/Pure-Cotton-Geometric-Print-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_1271M_NB_X_EC_90/Pure-Cotton-Geometric-Print-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_1271M_NB_X_EC_1/Pure-Cotton-Geometric-Print-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_1271M_NB_X_EC_2/Pure-Cotton-Geometric-Print-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_1271M_NB_X_EC_3/Pure-Cotton-Geometric-Print-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_1271M_NB_X_EC_4/Pure-Cotton-Geometric-Print-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_1271M_NB_X_EC_5/Pure-Cotton-Geometric-Print-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_1271M_NB_X_EC_7/Pure-Cotton-Geometric-Print-Shirt"
Regular Fit Pure Linen Shirt,https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=CHAMBRAY,£45,M&S Collection,"Chambray,Black,Dark Grey,White,Mole,Conker,Light Stone,Dark Coral,Pale Orange,Pale Yellow,Navy,Cobalt,Pale Blue,Dark Green","Wash at 40°C delicate,Do not bleach,Tumble dry medium temperature,Iron at high temperature,Professional dry clean",100% linen,"https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_SA_X_EC_0/Regular-Fit-Pure-Linen-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_SA_X_EC_90/Regular-Fit-Pure-Linen-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_SA_X_EC_1/Regular-Fit-Pure-Linen-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_SA_X_EC_2/Regular-Fit-Pure-Linen-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_SA_X_EC_3/Regular-Fit-Pure-Linen-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T25_0101M_SA_X_EC_4/Regular-Fit-Pure-Linen-Shirt"
Tailored Fit Luxury Cotton Twill Shirt,https://www.marksandspencer.com/tailored-fit-easy-iron-pure-cotton-shirt/p/clp60630952?color=WHITE,£49,M&S SARTORIAL,"White,Black,Pale Pink,Blue","Wash at 40°C delicate,Do not bleach,Tumble dry medium temperature,Iron at high temperature,Professional dry clean",100% cotton (exclusive of trimmings),"https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_4321T_Z0_X_EC_0/Tailored-Fit-Luxury-Cotton-Twill-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_4321T_Z0_X_EC_90/Tailored-Fit-Luxury-Cotton-Twill-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_4321T_Z0_X_EC_1/Tailored-Fit-Luxury-Cotton-Twill-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_4321T_Z0_X_EC_2/Tailored-Fit-Luxury-Cotton-Twill-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_4321T_Z0_X_EC_3/Tailored-Fit-Luxury-Cotton-Twill-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_4321T_Z0_X_EC_4/Tailored-Fit-Luxury-Cotton-Twill-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_4321T_Z0_X_EC_5/Tailored-Fit-Luxury-Cotton-Twill-Shirt,https://assets.digitalcontent.marksandspencer.app/images/w_1024,q_auto,f_auto/SD_03_T11_4321T_Z0_X_EC_6/Tailored-Fit-Luxury-Cotton-Twill-Shirt"
