"selection1_name","selection1_url","selection1_brand","selection1_brand_url","selection1_price","selection1_price_url"
"3pk Regular Fit Easy Iron Long Sleeve Shirts","https://www.marksandspencer.com/3pk-regular-fit-easy-iron-long-sleeve-shirts/p/clp60576693#intid=pid_pg1pip48g4r1c1","M&S Collection","https://www.marksandspencer.com/3pk-regular-fit-easy-iron-long-sleeve-shirts/p/clp60576693#intid=pid_pg1pip48g4r1c1","£49","https://www.marksandspencer.com/3pk-regular-fit-easy-iron-long-sleeve-shirts/p/clp60576693#intid=pid_pg1pip48g4r1c1"
"Regular Fit Luxury Cotton Double Cuff Dress Shirt","https://www.marksandspencer.com/regular-fit-pure-cotton-dinner-shirt/p/clp60542508?color=WHITE#intid=pid_pg1pip48g4r1c2%7Cprodflag_Offer","M&S SARTORIAL","https://www.marksandspencer.com/regular-fit-pure-cotton-dinner-shirt/p/clp60542508?color=WHITE#intid=pid_pg1pip48g4r1c2%7Cprodflag_Offer","£45","https://www.marksandspencer.com/regular-fit-pure-cotton-dinner-shirt/p/clp60542508?color=WHITE#intid=pid_pg1pip48g4r1c2%7Cprodflag_Offer"
"Regular Fit Pure Linen Shirt","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=WHITE#intid=pid_pg1pip48g4r1c3","M&S Collection","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=WHITE#intid=pid_pg1pip48g4r1c3","£45","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=WHITE#intid=pid_pg1pip48g4r1c3"
"3pk Regular Fit Easy Iron Short Sleeve Shirts","https://www.marksandspencer.com/3-pack-regular-fit-poplin-easy-to-iron-shirts/p/clp60287443#intid=pid_pg1pip48g4r1c4","M&S Collection","https://www.marksandspencer.com/3-pack-regular-fit-poplin-easy-to-iron-shirts/p/clp60287443#intid=pid_pg1pip48g4r1c4","£45","https://www.marksandspencer.com/3-pack-regular-fit-poplin-easy-to-iron-shirts/p/clp60287443#intid=pid_pg1pip48g4r1c4"
"Slim Fit Luxury Cotton Twill Shirt","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-twill-shirt/p/clp60630912?color=WHITE#intid=pid_pg1pip48g4r2c1%7Cprodflag_Offer","M&S SARTORIAL","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-twill-shirt/p/clp60630912?color=WHITE#intid=pid_pg1pip48g4r2c1%7Cprodflag_Offer","£49","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-twill-shirt/p/clp60630912?color=WHITE#intid=pid_pg1pip48g4r2c1%7Cprodflag_Offer"
"Slim Fit Luxury Cotton Double Cuffed Dress Shirt","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-textured-shirt/p/clp60694303#intid=pid_pg1pip48g4r2c2%7Cprodflag_Offer","M&S SARTORIAL","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-textured-shirt/p/clp60694303#intid=pid_pg1pip48g4r2c2%7Cprodflag_Offer","£45","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-textured-shirt/p/clp60694303#intid=pid_pg1pip48g4r2c2%7Cprodflag_Offer"
"Regular Fit Luxury Cotton Double Cuff Twill Shirt","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-twill-shirt/p/clp60631018?color=WHITE#intid=pid_pg1pip48g4r2c3%7Cprodflag_Offer","M&S SARTORIAL","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-twill-shirt/p/clp60631018?color=WHITE#intid=pid_pg1pip48g4r2c3%7Cprodflag_Offer","£49","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-twill-shirt/p/clp60631018?color=WHITE#intid=pid_pg1pip48g4r2c3%7Cprodflag_Offer"
"Slim Fit Ultimate Non Iron Cotton Shirt","https://www.marksandspencer.com/slim-fit-non-iron-pure-cotton-shirt/p/clp60707308?color=WHITE#intid=pid_pg1pip48g4r2c4","M&S Collection","https://www.marksandspencer.com/slim-fit-non-iron-pure-cotton-shirt/p/clp60707308?color=WHITE#intid=pid_pg1pip48g4r2c4","£40","https://www.marksandspencer.com/slim-fit-non-iron-pure-cotton-shirt/p/clp60707308?color=WHITE#intid=pid_pg1pip48g4r2c4"
"Slim Fit Luxury Cotton Double Cuff Dress Shirt","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-dinner-shirt/p/clp60542511#intid=pid_pg1pip48g4r3c1%7Cprodflag_Offer","M&S SARTORIAL","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-dinner-shirt/p/clp60542511#intid=pid_pg1pip48g4r3c1%7Cprodflag_Offer","£45","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-dinner-shirt/p/clp60542511#intid=pid_pg1pip48g4r3c1%7Cprodflag_Offer"
"Regular Fit Luxury Cotton Twill Shirt","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-shirt/p/clp60630987?color=WHITE#intid=pid_pg1pip48g4r3c2%7Cprodflag_Offer","M&S SARTORIAL","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-shirt/p/clp60630987?color=WHITE#intid=pid_pg1pip48g4r3c2%7Cprodflag_Offer","£49","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-shirt/p/clp60630987?color=WHITE#intid=pid_pg1pip48g4r3c2%7Cprodflag_Offer"
"Slim Fit Luxury Cotton Double Cuff Twill Shirt","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-twill-shirt/p/clp60631004?color=WHITE#intid=pid_pg1pip48g4r3c3%7Cprodflag_Offer","M&S SARTORIAL","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-twill-shirt/p/clp60631004?color=WHITE#intid=pid_pg1pip48g4r3c3%7Cprodflag_Offer","£49","https://www.marksandspencer.com/slim-fit-easy-iron-pure-cotton-twill-shirt/p/clp60631004?color=WHITE#intid=pid_pg1pip48g4r3c3%7Cprodflag_Offer"
"Pure Cotton Ultimate Oxford Shirt","https://www.marksandspencer.com/pure-cotton-oxford-shirt/p/clp60708918?color=CHAMBRAY#intid=pid_pg1pip48g4r3c4","M&S Collection","https://www.marksandspencer.com/pure-cotton-oxford-shirt/p/clp60708918?color=CHAMBRAY#intid=pid_pg1pip48g4r3c4","£25","https://www.marksandspencer.com/pure-cotton-oxford-shirt/p/clp60708918?color=CHAMBRAY#intid=pid_pg1pip48g4r3c4"
"Tailored Fit Luxury Cotton Twill Shirt","https://www.marksandspencer.com/tailored-fit-easy-iron-pure-cotton-shirt/p/clp60630952?color=WHITE#intid=pid_pg1pip48g4r4c1%7Cprodflag_Offer","M&S SARTORIAL","https://www.marksandspencer.com/tailored-fit-easy-iron-pure-cotton-shirt/p/clp60630952?color=WHITE#intid=pid_pg1pip48g4r4c1%7Cprodflag_Offer","£49","https://www.marksandspencer.com/tailored-fit-easy-iron-pure-cotton-shirt/p/clp60630952?color=WHITE#intid=pid_pg1pip48g4r4c1%7Cprodflag_Offer"
"Regular Fit Cotton Blend Double Cuff Shirt","https://www.marksandspencer.com/regular-fit-easy-iron-cotton-blend-shirt/p/clp60630963#intid=pid_pg1pip48g4r4c2","M&S Collection","https://www.marksandspencer.com/regular-fit-easy-iron-cotton-blend-shirt/p/clp60630963#intid=pid_pg1pip48g4r4c2","£20","https://www.marksandspencer.com/regular-fit-easy-iron-cotton-blend-shirt/p/clp60630963#intid=pid_pg1pip48g4r4c2"
"Cotton Rich Overshirt","https://www.marksandspencer.com/cotton-rich-overshirt/p/clp60707664?color=KHAKI#intid=pid_pg1pip48g4r4c3","M&S Collection","https://www.marksandspencer.com/cotton-rich-overshirt/p/clp60707664?color=KHAKI#intid=pid_pg1pip48g4r4c3","£40","https://www.marksandspencer.com/cotton-rich-overshirt/p/clp60707664?color=KHAKI#intid=pid_pg1pip48g4r4c3"
"3pk Slim Fit Easy Iron Shirts","https://www.marksandspencer.com/3pk-slim-fit-easy-iron-long-sleeve-shirts/p/clp60576712#intid=pid_pg1pip48g4r4c4","M&S Collection","https://www.marksandspencer.com/3pk-slim-fit-easy-iron-long-sleeve-shirts/p/clp60576712#intid=pid_pg1pip48g4r4c4","£49","https://www.marksandspencer.com/3pk-slim-fit-easy-iron-long-sleeve-shirts/p/clp60576712#intid=pid_pg1pip48g4r4c4"
"Cotton Rich Overshirt","https://www.marksandspencer.com/cotton-rich-overshirt/p/clp60707664?color=DARKNAVY#intid=pid_pg1pip48g4r5c1","M&S Collection","https://www.marksandspencer.com/cotton-rich-overshirt/p/clp60707664?color=DARKNAVY#intid=pid_pg1pip48g4r5c1","£40","https://www.marksandspencer.com/cotton-rich-overshirt/p/clp60707664?color=DARKNAVY#intid=pid_pg1pip48g4r5c1"
"2pk Regular Fit Easy Iron Check Shirts","https://www.marksandspencer.com/2pk-regular-fit-easy-iron-check-shirts/p/clp60707155#intid=pid_pg1pip48g4r5c2","M&S Collection","https://www.marksandspencer.com/2pk-regular-fit-easy-iron-check-shirts/p/clp60707155#intid=pid_pg1pip48g4r5c2","£42","https://www.marksandspencer.com/2pk-regular-fit-easy-iron-check-shirts/p/clp60707155#intid=pid_pg1pip48g4r5c2"
"2pk Regular Fit Easy Iron Check Shirts","https://www.marksandspencer.com/2pk-regular-fit-easy-iron-check-shirts/p/clp60707129#intid=pid_pg1pip48g4r5c3","M&S Collection","https://www.marksandspencer.com/2pk-regular-fit-easy-iron-check-shirts/p/clp60707129#intid=pid_pg1pip48g4r5c3","£42","https://www.marksandspencer.com/2pk-regular-fit-easy-iron-check-shirts/p/clp60707129#intid=pid_pg1pip48g4r5c3"
"Pure Cotton Geometric Print Shirt","https://www.marksandspencer.com/pure-cotton-geometric-print-shirt/p/clp60721981#intid=pid_pg1pip48g4r5c4","M&S Collection","https://www.marksandspencer.com/pure-cotton-geometric-print-shirt/p/clp60721981#intid=pid_pg1pip48g4r5c4","£32","https://www.marksandspencer.com/pure-cotton-geometric-print-shirt/p/clp60721981#intid=pid_pg1pip48g4r5c4"
"Regular Fit Pure Linen Shirt","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=COBALT#intid=pid_pg1pip48g4r6c1","M&S Collection","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=COBALT#intid=pid_pg1pip48g4r6c1","£45","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=COBALT#intid=pid_pg1pip48g4r6c1"
"Regular Fit Pure Linen Shirt","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=CHAMBRAY#intid=pid_pg1pip48g4r6c2","M&S Collection","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=CHAMBRAY#intid=pid_pg1pip48g4r6c2","£45","https://www.marksandspencer.com/pure-linen-shirt/p/clp60723644?color=CHAMBRAY#intid=pid_pg1pip48g4r6c2"
"Slim Fit Cotton Stretch 360 Flex™ Shirt","https://www.marksandspencer.com/slim-fit-easy-iron-cotton-blend-shirt/p/clp60706963?color=WHITE#intid=pid_pg1pip48g4r6c3","Autograph","https://www.marksandspencer.com/slim-fit-easy-iron-cotton-blend-shirt/p/clp60706963?color=WHITE#intid=pid_pg1pip48g4r6c3","£40","https://www.marksandspencer.com/slim-fit-easy-iron-cotton-blend-shirt/p/clp60706963?color=WHITE#intid=pid_pg1pip48g4r6c3"
"3pk Regular Fit Easy Iron Short Sleeve Shirts","https://www.marksandspencer.com/3-pack-regular-fit-poplin-shirts/p/clp60287442#intid=pid_pg1pip48g4r6c4","M&S Collection","https://www.marksandspencer.com/3-pack-regular-fit-poplin-shirts/p/clp60287442#intid=pid_pg1pip48g4r6c4","£45","https://www.marksandspencer.com/3-pack-regular-fit-poplin-shirts/p/clp60287442#intid=pid_pg1pip48g4r6c4"
"Faux Suede Overshirt","https://www.marksandspencer.com/faux-suede-overshirt/p/clp60716782?color=DARKBROWN#intid=pid_pg1pip48g4r7c1","Autograph","https://www.marksandspencer.com/faux-suede-overshirt/p/clp60716782?color=DARKBROWN#intid=pid_pg1pip48g4r7c1","£70","https://www.marksandspencer.com/faux-suede-overshirt/p/clp60716782?color=DARKBROWN#intid=pid_pg1pip48g4r7c1"
"Regular Fit Luxury Cotton Double Cuff Dress Shirt","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-textured-shirt/p/clp60694304#intid=pid_pg1pip48g4r7c2%7Cprodflag_Offer","M&S SARTORIAL","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-textured-shirt/p/clp60694304#intid=pid_pg1pip48g4r7c2%7Cprodflag_Offer","£45","https://www.marksandspencer.com/regular-fit-easy-iron-pure-cotton-textured-shirt/p/clp60694304#intid=pid_pg1pip48g4r7c2%7Cprodflag_Offer"
