real_estate_link,license_number,license_type,legal_form,arabic_trade_name,english_trade_name,license_start_date,license_expiry_date,activities,est_banning_status,area
https://eservices.ajmanded.ae/en/TradeLicense/License/df184987-f1fb-4f78-a0c2-d0c50eefb98a,1101,Trade License,Limited Liability Company,مركز عجمان العقاري/ذ.م.م,AJMAN REAL ESTATE CENTRE/L.L.C,17/05/1982,08/11/2007,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nakheel1
https://eservices.ajmanded.ae/en/TradeLicense/License/59c9ec74-f6d8-41ca-9238-203407e4cdbf,2534,Trade License,L.L.C (SOLE PROPRIETORSHIP),علي محمد يوسف للعقارات (ذ.م.م – ش.ش.و),ALI MOHAMED YOUSUF REAL ESTATE (S.P.S - L.L.C),01/03/1983,11/10/2025,['Real Estate Lease and Management Services'],Unprohibited,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/fd16341b-0fd3-4174-b9af-7d6caa78fec8,2800,Trade License,Limited Liability Company,يوسف بن ناصر واولاده العقارية ذ.م.م,YOUSEF BIN NASSER & SONS REAL ESTATE L.L.C,26/06/1984,16/02/2026,['Real Estate Lease and Management Services'],Unprohibited,Rashideya2
https://eservices.ajmanded.ae/en/TradeLicense/License/e4ef1a72-ea45-406e-8b73-b97defebd6a0,3677,Trade License,Sole Establishment,البوابة الشرقية للكشف على العقارات ,EASTERN GATE TO DETECTION REAL ESTATE ,26/03/1985,02/05/2026,['Detection services for real estate'],Unprohibited,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/0417ae7f-a21d-47d7-a4aa-971cf9a18858,4171,Trade License,Sole Establishment,مكتب الريايسه العقاري,AL RAYAYESA REAL ESTATE OFFIC,07/10/1985,23/02/2000,not available,Unprohibited,Nakheel1
https://eservices.ajmanded.ae/en/TradeLicense/License/703329ca-868a-4333-8607-a9c465ee8bcf,4382,Trade License,Sole Establishment,مكتب الشعب للعقارات,AL SHAAB REAL ESTATE OFFICE,17/12/1985,06/03/2026,"['Real Estate Lease and Management Services', 'Real Estate Purchase and Sale Brokerage']",Unprohibited,Nuaimeya3
https://eservices.ajmanded.ae/en/TradeLicense/License/d2def41a-eb00-4324-b3cf-0d04e81c74bf,5018,Trade License,Sole Establishment,مكتب بواحمد للعقارات,.ABU AHMAD REAL ESTATE OFFICE,06/07/1986,26/11/2025,['Land and Real Estate Purchase and Sale'],Unprohibited,Nuaimeya3
https://eservices.ajmanded.ae/en/TradeLicense/License/25ef1428-5a5b-49b5-8fb1-052369e8ee2c,5864,Trade License,Sole Establishment,النعيمية للخدمات العقارية,.AL NOAIMIA REAL ESTATE & SERVICES,24/10/1987,01/11/1999,not available,Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/fc49dabc-72ab-4343-a6f0-357fde3a862f,7187,Trade License,Limited Liability Company,جرينس للعقارات(ذ.م.م),GREENS REAL ESTATE L.L.C,29/11/1987,23/08/2025,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Prohibited ,Rashideya2
https://eservices.ajmanded.ae/en/TradeLicense/License/a9a5cfd1-5001-4c7d-b31f-7e0e0982255f,7250,Trade License,Sole Establishment,مكتب النخيلات للعقارات,AL NAKHEELAT REAL ESTATE OFFICE,13/12/1987,26/09/2025,['Real Estate Lease and Management Services'],Unprohibited,Nuaimeya3
https://eservices.ajmanded.ae/en/TradeLicense/License/2a7d524f-00c1-4fa3-a3d6-90bef6f6e3d9,7260,Trade License,Sole Establishment,مكتب ساحل الخليج العقاري,.GULF COST REAL ESTATE,14/12/1987,07/02/2009,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Prohibited ,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/d6fbf1f3-5644-4c5b-a28c-091f7caf918d,8372,Trade License,Sole Establishment,مؤسسة البرج لتجارة العقارات,.AL BURJ REAL ESTATE TRADING EST,15/05/1988,17/10/2025,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya2
https://eservices.ajmanded.ae/en/TradeLicense/License/df184987-f1fb-4f78-a0c2-d0c50eefb98a,1101,Trade License,Limited Liability Company,مركز عجمان العقاري/ذ.م.م,AJMAN REAL ESTATE CENTRE/L.L.C,17/05/1982,08/11/2007,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nakheel1
https://eservices.ajmanded.ae/en/TradeLicense/License/59c9ec74-f6d8-41ca-9238-203407e4cdbf,2534,Trade License,L.L.C (SOLE PROPRIETORSHIP),علي محمد يوسف للعقارات (ذ.م.م – ش.ش.و),ALI MOHAMED YOUSUF REAL ESTATE (S.P.S - L.L.C),01/03/1983,11/10/2025,['Real Estate Lease and Management Services'],Unprohibited,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/fd16341b-0fd3-4174-b9af-7d6caa78fec8,2800,Trade License,Limited Liability Company,يوسف بن ناصر واولاده العقارية ذ.م.م,YOUSEF BIN NASSER & SONS REAL ESTATE L.L.C,26/06/1984,16/02/2026,['Real Estate Lease and Management Services'],Unprohibited,Rashideya2
https://eservices.ajmanded.ae/en/TradeLicense/License/e4ef1a72-ea45-406e-8b73-b97defebd6a0,3677,Trade License,Sole Establishment,البوابة الشرقية للكشف على العقارات ,EASTERN GATE TO DETECTION REAL ESTATE ,26/03/1985,02/05/2026,['Detection services for real estate'],Unprohibited,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/0417ae7f-a21d-47d7-a4aa-971cf9a18858,4171,Trade License,Sole Establishment,مكتب الريايسه العقاري,AL RAYAYESA REAL ESTATE OFFIC,07/10/1985,23/02/2000,not available,Unprohibited,Nakheel1
https://eservices.ajmanded.ae/en/TradeLicense/License/703329ca-868a-4333-8607-a9c465ee8bcf,4382,Trade License,Sole Establishment,مكتب الشعب للعقارات,AL SHAAB REAL ESTATE OFFICE,17/12/1985,06/03/2026,"['Real Estate Lease and Management Services', 'Real Estate Purchase and Sale Brokerage']",Unprohibited,Nuaimeya3
https://eservices.ajmanded.ae/en/TradeLicense/License/d2def41a-eb00-4324-b3cf-0d04e81c74bf,5018,Trade License,Sole Establishment,مكتب بواحمد للعقارات,.ABU AHMAD REAL ESTATE OFFICE,06/07/1986,26/11/2025,['Land and Real Estate Purchase and Sale'],Unprohibited,Nuaimeya3
https://eservices.ajmanded.ae/en/TradeLicense/License/25ef1428-5a5b-49b5-8fb1-052369e8ee2c,5864,Trade License,Sole Establishment,النعيمية للخدمات العقارية,.AL NOAIMIA REAL ESTATE & SERVICES,24/10/1987,01/11/1999,not available,Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/fc49dabc-72ab-4343-a6f0-357fde3a862f,7187,Trade License,Limited Liability Company,جرينس للعقارات(ذ.م.م),GREENS REAL ESTATE L.L.C,29/11/1987,23/08/2025,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Prohibited ,Rashideya2
