pdp_url,product_name,product_code,product_price,currency,brand,images,breadcrumb,rating,review,features,product_description,ingredients,storage_instructions,warning,company_address,nutritional_information,manufacturer_address,promotion_valid_from,promotion_valid_upto,promotion_description,percentage_discount
https://www.dm.si/dmbio-bio-ingverjev-sok-iz-97-ingverja-p4058172227707.html,"Bio ingverjev sok iz 97 % ingverja, 200 ml",4058172227707,4.95,EUR,dmBio,"['https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747449867/assets/pas/images/85b201cc-7cbf-41cf-8442-1c1859e5bc3b/dmbio-bio-ingverjev-sok-iz-97-ingverja']",Prehrana > Napitki > Zelenjavni sokovi in ingverjev sok,4.74,150,"brez glutena, brez konzervansov, brez arom, brez laktoze, vegetarijansko, bio, brez barvil, vegansko","dmBio ingverjev sok je izdelan iz skrbno in ekološko pridelanega ingverja z namenom, da ohrani svojo naravno ostrino. Ingver pripomore h krepitvi imunskega sistema, saj je izredno bogat z minerali in hranili. Sok je primeren za čaj ali pa kot začimba pri pripravi azijskih jedi. dmBio – poskusite naravno okusno.","Točno ime izdelka:  dmBio. Bio ingverjev sok iz 97 % ingverja.  Neto količina: 200 ml  ingverjev sok* 97 %, limonin sok iz zgoščenega limoninega soka* 3 % .  *iz ekološke pridelave Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži.",,Zaradi naravne ostrine soka ne pijte samega. Shranjevati zunaj dosega otrok.,dm-drogerie markt Am dm-Platz 1. DE-76227 Karlsruhe servicecenter@dm.de,"{'Energijska vrednost': '44 kJ / 10 kcal', 'Maščobe': '< 0,5 g', 'od tega nasičene maščobe': '< 0,1 g', 'Ogljikovi hidrati': '2,6 g', 'od tega sladkorji': '2,6 g', 'Prehranske vlaknine': '< 0,5 g', 'Beljakovine': '< 0,5 g', 'Sol': '< 0,01 g'}",,,,,0
https://www.dm.si/dmbio-bio-indijski-orescki-razpolovljeni-p4066447490749.html,"Bio indijski oreščki, razpolovljeni, 300 g",4066447490749,3.65,EUR,dmBio,"['https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747482606/assets/pas/images/207d8e71-819d-4a18-9dd2-d1939f226044/dmbio-bio-indijski-orescki-razpolovljeni', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747482552/assets/pas/images/8638e9af-2f19-4983-97ad-90bc077bed8f/dmbio-bio-indijski-orescki-razpolovljeni', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747482237/assets/pas/images/040be83d-65bb-459f-989f-f11f70b7c3d6/dmbio-bio-indijski-orescki-razpolovljeni', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747482606/assets/pas/images/ffa7c414-4fd3-48a4-a939-ed4f7582bbb4/dmbio-bio-indijski-orescki-razpolovljeni']",Prehrana > Prigrizki in sladkarije > Oreščki,4.6791,455,"brez konzervansov, brez arom, vegetarijansko, bio, brez barvil, vegansko","dmBio razpolovljeni indijski oreščki imajo značilen blag, sladko oreškast okus. Primerni so za peko, kot posip za mueslije in kaše ter okusen prigrizek med obroki.","Točno ime izdelka:  dmBio. Bio indijski oreščki, razpolovljeni. Neto količina: 300 g.  INDIJSKI OREŠČKI*. *iz ekološke pridelave  Prosimo, bodite pozorni na opozorila o alergenih. Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži.","Dobro zaprto hraniti v hladnem, temnem in suhem prostoru. Po odprtju porabite v nekaj dneh. Embalažo lahko ponovno zaprete s priloženo lepljivo etiketo, tako vsebina dlje ostane sveža.",,"dm drogerie markt d.o.o. Litostrojska cesta 48, Ljubljana","{'Energijska vrednost': '2.500 kJ / 603 kcal', 'Maščobe': '47 g', 'od tega nasičene maščobe': '8,5 g', 'od tega enkrat nenasičene maščobe': '31 g', 'od tega večkrat nenasičene maščobe': '8,2 g', 'Ogljikovi hidrati': '22 g', 'od tega sladkorji': '6,8 g', 'Prehranske vlaknine': '4,8 g', 'Beljakovine': '20 g', 'Sol': '0,05 g'}",,,,,0
https://www.dm.si/dmbio-bio-okroglozrnati-riz-p4058172389481.html,"Bio okroglozrnati riž, 500 g",4058172389481,2.35,EUR,dmBio,"['https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747450943/assets/pas/images/cdaabb86-cd0c-4e73-9d44-765511f19243/dmbio-bio-okroglozrnati-riz']",Prehrana > Priloge > Riž,5.0,2,"vegetarijansko, bio, vegansko","Okroglozrnati riž dmBio izvira iz Italije, je oluščen in rahlo brušen. Med kuhanjem postane čudovito mehek in kremast, zato je predvsem primeren za pripravo sladic in aromatičnih rižot.","Točno ime izdelka:  dmBio. Bio okroglozrnati riž.  Neto količina: 500g  okroglozrnati riž*.  *iz ekološke pridelave  Prosimo, bodite pozorni na opozorila o alergenih. Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži.",Dobro zaprto hraniti v hladnem in suhem prostoru.,,dm-drogerie markt Am dm-Platz 1. DE-76227 Karlsruhe servicecenter@dm.de,"{'Energijska vrednost': '1.480 kJ / 349 kcal', 'Maščobe': '0,8 g', 'od tega nasičene maščobe': '0,2 g', 'Ogljikovi hidrati': '78 g', 'od tega sladkorji': '0,7 g', 'Prehranske vlaknine': '1,4 g', 'Beljakovine': '7,2 g', 'Sol': '0,04 g'}",Italija,,,,0
https://www.dm.si/dmbio-bio-drobni-polnozrnati-ovseni-kosmici-p4066447123128.html,"Bio drobni polnozrnati ovseni kosmiči, 500 g",4066447123128,1.15,EUR,dmBio,"['https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747476749/assets/pas/images/7fcd0cdc-c7a4-4271-aa11-300167373fb7/dmbio-bio-drobni-polnozrnati-ovseni-kosmici', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747476991/assets/pas/images/b6f4d5d5-b9b6-40ff-9326-0da592842ad7/dmbio-bio-drobni-polnozrnati-ovseni-kosmici', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747476991/assets/pas/images/ef7ec526-d490-4110-86db-e221e2902681/dmbio-bio-drobni-polnozrnati-ovseni-kosmici', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747476749/assets/pas/images/3acfc7de-da61-4f6f-a69e-6596a30623ea/dmbio-bio-drobni-polnozrnati-ovseni-kosmici']",Prehrana > Zajtrk > Kosmiči,4.8571,7,"vegetarijansko, bio, vegansko","dmBio drobni polnozrnati ovseni kosmiči so cela zrna z vsemi sestavinami, ki jih pazljivo oparijo in nato zvaljajo v kosmiče. Okusni so kot dodatek k drugim kosmičem, kašam, za pripravo vegetarijanskih polpetov in piškotov. dmBio polnozrnati kosmiči ostanejo dolgo sveži in so vam lahko vedno pri roki v vaši omari.","Točno ime izdelka:  dmBio. Bio drobni polnozrnati ovseni kosmiči.  Neto količina: 500 g.   POLNOZRNATI OVSENI KOSMIČI*. *Iz ekološke pridelave.  Prosimo, bodite pozorni na opozorila o alergenih. Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži.","Dobro zaprto hraniti v suhem prostoru, zaščiteno pred toploto.",,"dm drogerie markt d.o.o. Litostrojska cesta 48, Ljubljana","{'Energijska vrednost': '1.562 kJ / 372 kcal', 'Maščobe': '7 g', 'od tega nasičene maščobe': '1,3 g', 'od tega enkrat nenasičene maščobe': '2,7 g', 'Ogljikovi hidrati': '59 g', 'od tega sladkorji': '0,7 g', 'Prehranske vlaknine': '10 g', 'Beljakovine': '14 g', 'Sol': '0,02 g'}",Nemčija/Avstrija,,,,0
https://www.dm.si/dmbio-bio-oluscena-semena-navadne-konoplje-p4066447440508.html,"Bio oluščena semena navadne konoplje, 200 g",4066447440508,3.65,EUR,dmBio,"['https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747482170/assets/pas/images/3ef9ad63-ba69-4f8e-b3f7-50e5e9e7f009/dmbio-bio-oluscena-semena-navadne-konoplje', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747481896/assets/pas/images/f06edb17-c378-4cef-8347-1fe2b543a864/dmbio-bio-oluscena-semena-navadne-konoplje', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747482126/assets/pas/images/2c32f199-3809-443a-a18a-9b57c02ac56b/dmbio-bio-oluscena-semena-navadne-konoplje', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747482126/assets/pas/images/72055150-c059-4a35-a0d8-6b002b77fe6a/dmbio-bio-oluscena-semena-navadne-konoplje']",Prehrana > Peka > Semena,5.0,4,"brez konzervansov, brez arom, brez laktoze, vegetarijansko, bio, brez barvil, vegansko","dmBio oluščena semena navadne konoplje so zaradi svojega rahlo oreškastega okusa idealna kot sestavina za smutije, jogurje ali mueslije. Semena lahko uporabite tudi za peko kruha in peciva, pa tudi kot dodatek solatam ali enolončnicam. Konopljina semena vsebujejo visoko vsebnost večkrat nenasičenih maščob in omega-3-maščobnih kislin. Poleg vsega so tudi super vir beljakovin. dmBio oluščena semena navadne konoplje so lahko tista pika na i v vaši kuhinji.","Točno ime izdelka:  dmBio. Bio semena navadne konoplje, oluščena.  Neto količina: 200 g  oluščena semena navadne konoplje*. *Iz ekološke pridelave.  Prosimo, bodite pozorni na opozorila o alergenih. Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži.","Hraniti v suhem prostoru, zaščiteno pred toploto. Vsebino odprte embalaže hitro porabite. Pakiranje vsebuje 10 porcij. V embalaži, ki jo lahko ponovno zaprete s priloženo lepljivo etiketo. Pakirano v kontrolirani atmosferi.","Lahko vsebujejo sledi OREŠKOV, SEZAMA in ŽIT, ki vsebujejo GLUTEN. Največja dovoljena dnevna porcija konopljinih semen je 20 g. Izdelek ni primeren za dojenčke in otroke. Gre za navadno konopljo, ki nima psihofizičnih učinkov. Semena niso dovoljena za sejanje konoplje.",dm-drogerie markt Am dm-Platz 1. DE-76227 Karlsruhe servicecenter@dm.de,"{'Energijska vrednost': '2.532 kJ / 611 kcal', 'Maščobe': '51 g', 'od tega nasičene maščobe': '5,1 g', 'od tega enkrat nenasičene maščobe': '5,3 g', 'od tega večkrat nenasičene maščobe': '41 g', 'Ogljikovi hidrati': '2 g', 'od tega sladkorji': '2 g', 'Prehranske vlaknine': '6,2 g', 'Beljakovine': '33 g', 'Sol': '0,02 g'}",,,,,0
https://www.dm.si/dmbio-bio-ovseni-napitek-s-sojo-barista-8-x-1-l-p2090000372441.html,"Bio ovseni napitek s sojo Barista, 8 x 1 L, 8 l",2090000372441,9.95,EUR,dmBio,"['https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747407412/assets/pas/images/4aae2b07-c43a-4fb2-9918-70e84a2a1a34/dmbio-bio-ovseni-napitek-s-sojo-barista-8-x-1-l']",Prehrana > Mleko in rastlinski napitki > Rastlinski napitki,5.0,1,"brez laktoze, vegetarijansko, bio, vegansko","dmBio ovseni napitek s sojo Barista je idealen za vse ljubitelje kave, ki iščejo rastlinsko alternativo. Ta kremasti napitek iz fermentiranega ovsa in soje se odlično speni, kar omogoča pripravo popolnega kapučina ali macchiata. Brez dodanih sladkorjev, vsebuje naravno prisotne sladkorje iz fermentacije ovsa, kar zagotavlja naravno sladkost. Segret na ultra visoki temperaturi (UHT), je primeren za dolgotrajno shranjevanje. Naravno brez laktoze, je veganski izdelek z nežnim okusom, ki ga lahko uporabljate v kavi, kosmičih ali pijete samega. dmBio – razvajajte se z okusom. Sedaj na voljo v praktični kartonski embalaži po 8 kosov.","Točno ime izdelka:  dmBio. Bio napitek na osnovi fermentiranega ovsa in soje.  Neto vsebina: 8 x 1 L.  Voda, 10% fermentirani polnozrnati oves*, 2 % soja*, sončnično olje*, morska sol. *Iz ekološke pridelave.  Prosimo, bodite pozorni na opozorila o alergenih. Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži.",Napitka v originalno zaprti embalaži zaradi toplotne obdelave ni treba hraniti v hladilniku. Vsebino odprte embalaže hranite v hladilniku v pokončnem položaju in jo porabite v štirih dneh.,,dm-drogerie markt Am dm-Platz 1. DE-76227 Karlsruhe servicecenter@dm.de,"{'Energijska vrednost': '214 kJ / 51 kcal', 'Maščobe': '1,7 g', 'od tega nasičene maščobe': '0,2 g', 'Ogljikovi hidrati': '7,2 g', 'od tega sladkorji': '7,2 g', 'Prehranske vlaknine': '0,3 g', 'Beljakovine': '1,5 g', 'Sol': '0,12 g'}",Proizvedeno v Nemčiji.,,,,0
https://www.dm.si/dmbio-bio-kokosova-ploscica-s-temno-cokolado-p4066447225396.html,"Bio kokosova ploščica s temno čokolado, 40 g",4066447225396,1.15,EUR,dmBio,"['https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747478210/assets/pas/images/890d9fba-3d99-4df7-a899-558cad03f0ad/dmbio-bio-kokosova-ploscica-s-temno-cokolado', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747478501/assets/pas/images/93b26d42-6db5-48e4-88c8-abdaa47bbfcb/dmbio-bio-kokosova-ploscica-s-temno-cokolado', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747478502/assets/pas/images/185cbb8d-8f17-4e53-bfb6-438cf1bd3fb9/dmbio-bio-kokosova-ploscica-s-temno-cokolado', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747478500/assets/pas/images/f927f2f9-3a4e-4489-9f4e-0c7024b72d32/dmbio-bio-kokosova-ploscica-s-temno-cokolado']",Prehrana > Prigrizki in sladkarije > Čokolada in čokoladne ploščice,4.7557,131,"brez glutena, brez konzervansov, brez arom, vegetarijansko, bio, brez barvil, vegansko",dmBio kokosova ploščica s temno čokolado je idealen prigrizek med obroki. Veganska ploščica je oblita s temno čokolado in vsebuje okusen kokosov nadev. Preplet sladkih in grenkih okusov prinaša prav posebno doživetje za vaše brbončice. Čokolada je veganska.,,"Hraniti v suhem prostoru, zaščiteno pred toploto.","Lahko vsebuje sledi SOJE, MLEKA in OREŠKOV. Lahko vsebuje delce pečk in lupin.",dm-drogerie markt Am dm-Platz 1. DE-76227 Karlsruhe servicecenter@dm.de,"{'Energijska vrednost': '2.059 kJ / 494 kcal', 'Maščobe': '31 g', 'od tega nasičene maščobe': '25 g', 'Ogljikovi hidrati': '47 g', 'od tega sladkorji': '39 g', 'Prehranske vlaknine': '6,7 g', 'Beljakovine': '3,5 g', 'Sol': '0,07 g'}",,,,,0
https://www.dm.si/dmbio-bio-namaz-iz-indijskih-oresckov-p4058172365928.html,"Bio namaz iz indijskih oreščkov, 250 g",4058172365928,5.95,EUR,dmBio,"['https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747451158/assets/pas/images/00c0d555-9994-4b3d-9463-fb88d377ab13/dmbio-bio-namaz-iz-indijskih-oresckov']","Prehrana > Zajtrk > Čokoladni namazi, arašidovo maslo in drugo",4.8093,430,"brez glutena, brez konzervansov, brez arom, brez laktoze, vegetarijansko, bio, brez barvil, vegansko","Namaz oreškastega okusa je narejen zgolj iz praženih mletih indijskih oreščkov. Okusen je kot namaz na kruhu, uporabite ga lahko pri kuhanju ali pa z njim izboljšate okus omak. Olje indijskih oreščkov se lahko izloči na površini. Namaz premešajte, da bo znova kremast.","Točno ime izdelka:  dmBio. Bio namaz iz indijskih oreščkov.  Neto količina: 250 g.  100 % praženi INDIJSKI OREŠČKI*.  *iz ekološke pridelave  Prosimo, bodite pozorni na opozorila o alergenih. Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži.",Hraniti v hladnem in suhem prostoru.,,"dm drogerie markt d.o.o. Litostrojska cesta 48, Ljubljana","{'Energijska vrednost': '2.402 kJ / 574 kcal', 'Maščobe': '46 g', 'od tega nasičene maščobe': '9,2 g', 'Ogljikovi hidrati': '33 g', 'od tega sladkorji': '5 g', 'Prehranske vlaknine': '3 g', 'Beljakovine': '15 g', 'Sol': '0,04 g'}",Nemčija,,,,0
https://www.dm.si/dmbio-bio-rjavo-laneno-seme-celo-p4066447355505.html,"Bio rjavo laneno seme, celo, 500 g",4066447355505,1.95,EUR,dmBio,"['https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747480489/assets/pas/images/911b62fa-f618-45e9-a629-cd4f57ffd015/dmbio-bio-rjavo-laneno-seme-celo', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747480509/assets/pas/images/af3d0c35-d2ae-4d8f-8fb9-9efc786c8643/dmbio-bio-rjavo-laneno-seme-celo']",Prehrana > Peka > Semena,4.3333,12,"brez konzervansov, vegetarijansko, bio, brez barvil, vegansko","dmBio rjava cela lanena semena so bogata s prehranskimi vlakninami in omega-3-maščobnimi kislinami. Semena so nežnega oreškastega okusa ter so vsestransko uporabna. Surov izdelek ni primeren za uživanje, lanena semena so uporabna samo za kuhanje in peko, zato ga priporočamo za uporabo v enolončnicah, omakah in pitah. Izdelek je veganski.","Točno ime izdelka:  dmBio. Bio rjavo laneno seme, celo.  Neto količina: 500 g.   laneno seme*. *Iz ekološke pridelave.  Prosimo, bodite pozorni na opozorila o alergenih. Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži.","Dobro zaprto hraniti v suhem prostoru, zaščiteno pred toploto. Vsebino odprte embalaže porabite v nekaj dneh. Pakirano v kontrolirani atmosferi. Embalažo lahko ponovno zaprete s priloženo lepljivo etiketo.","Lahko vsebuje sledi GLUTENA, SEZAMA in OREŠKOV. Ker lanena semena močno nabreknejo, jih je treba uživati z zadostno količino tekočine.","dm drogerie markt d.o.o. Litostrojska cesta 48, Ljubljana","{'Energijska vrednost': '2.228 kJ / 540 kcal', 'Maščobe': '43 g', 'od tega nasičene maščobe': '5,3 g', 'Ogljikovi hidrati': '3 g', 'od tega sladkorji': '1 g', 'Prehranske vlaknine': '26 g', 'Beljakovine': '22 g', 'Sol': '0,15 g'}",,,,,0
https://www.dm.si/dmbio-bio-namaz-iz-sitake-gob-in-sampinjonov-p4058172737381.html,"Bio namaz iz šitake gob in šampinjonov, 125 g",4058172737381,1.95,EUR,dmBio,"['https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747454603/assets/pas/images/aa06d932-b48f-4774-8bc6-88208e18f58f/dmbio-bio-namaz-iz-sitake-gob-in-sampinjonov', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747454006/assets/pas/images/42e33bb4-4917-4a21-9518-f1de7e16866a/dmbio-bio-namaz-iz-sitake-gob-in-sampinjonov', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747454323/assets/pas/images/2ba8ece4-deb9-4afc-84e2-2f940f0ae187/dmbio-bio-namaz-iz-sitake-gob-in-sampinjonov', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747454005/assets/pas/images/7b41ee35-d60e-415d-a2c5-0a63133b0360/dmbio-bio-namaz-iz-sitake-gob-in-sampinjonov', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747454198/assets/pas/images/78fc08ed-dd6e-4869-85ef-73a20fbaf8cc/dmbio-bio-namaz-iz-sitake-gob-in-sampinjonov', 'https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747454395/assets/pas/images/4aac4ef4-fc6a-41e5-863f-e667601c5e59/dmbio-bio-namaz-iz-sitake-gob-in-sampinjonov']",Prehrana > Zajtrk > Slani namazi za kruh,4.3554,121,"brez konzervansov, brez arom, brez laktoze, vegetarijansko, bio, brez barvil, vegansko","dmBio namaz iz šitak in šampinjonov je idealen kot namaz na kruhu ali pa za obogatitev omak. Je polnega okusa, ki bo navdušil vse ljubitelje gob. Namaz je narejen na osnovi kvasa in je brez živalskih sestavin. dmBio – poskusite naravno okusno.",,Po odprtju hranite v hladilniku in porabite v treh dneh.,,dm-drogerie markt Am dm-Platz 1. DE-76227 Karlsruhe servicecenter@dm.de,"{'Energijska vrednost': '832 kJ / 201 kcal', 'Maščobe': '16 g', 'od tega nasičene maščobe': '1,7 g', 'Ogljikovi hidrati': '8,3 g', 'od tega sladkorji': '0,8 g', 'Prehranske vlaknine': '3,2 g', 'Beljakovine': '4,3 g', 'Sol': '1,3 g'}",,,,,0
