pdp_url,product_name,product_unique_key,regular_price,brand,images,rating,review,net_weight,valid_upto,features,ingredients,promotion_description,feeding_recommendation,material_composition,product_description
https://www.petsathome.com/product/wellness-core-complete-small-breed-dry-adult-dog-food-turkey-with-chicken/7122690P,Wellness Core Complete Small Breed Adult Dry Dog Food Turkey with Chicken,7122690P,13.59,Wellness Core,"['https://cdn.petsathome.com/public/images/products/900_7122690.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122690_01.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122690_02.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122690_03.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122690_04.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122690_05.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122690_06.jpg']",4.6,139,1.5kg,2025-07-15,"Naturally supports healthy energy and lean muscles,Fresh turkey first to deliver tasty meals, bowl after bowl,Promotes digestive health with prebiotics, probiotics and dietary fibre,Low carbs, no fillers - grain free the right way, delivering high-protein, meat-rich nutrition,Hip and joint support from Glucosamine and Chondroitin Sulphate,Small, crunchy kibbles help reduce plaque build-up and suit smaller mouths",Protein: 36%; Crude Fibres: 4%; Crude Oils and Fats: 16%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated,Buy One Get Second Half Price On Selected Wellness Core Dry Dog Food,"Every dog is a little different, so optimal feeding amount may vary with age, size, activity level, breed and environment. Divide the total grams per day by the number of times you feed your dog per day. Please use the information as an initial recommendation only and adjust as needed. Always provide access to clean, fresh water. COMBINATION FEEDING: If feeding with wet food, reduce dry amount by 14 g for every 2 tbsp. of wet food.","Turkey 32% (Fresh Turkey 16%, Dehydrated Turkey 16%), Chicken 30% (Dehydrated Chicken 16%, Chicken Fat 8%, Chicken Gravy 6%), Peas 20%, Potato Protein, Beet Pulp 4%, Linseed 3%, Dried Potatoes, Salmon Oil 1%, Lignocellulose, Carrots, Apples, Yeast Extract (source of mannan - oligosaccharides) 0,5%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, Broccoli, Spinach, Tomatoes, Blueberries, Cranberries 0,01%, Dried Peppermint, D-Glucosamine Hydrochloride 100 mg/kg, Chondroitin Sulphate 100 mg/kg, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)","Wellness Core Small Breed Adult Original is tailored to small breed dogs' nutritional needs, supporting optimal energy and body condition with all-natural ingredients and high-quality proteins. Grain free and protein rich with fresh turkey as the first ingredient plus a unique blend of wholesome vegetables and superfoods, leaving out fillers and grains."
https://www.petsathome.com/product/wellness-core-complete-medium-breed-dry-adult-dog-food-turkey-with-chicken/7122687P,Wellness Core Complete Medium Breed Adult Dry Dog Food Turkey with Chicken,7122687P,16.39,Wellness Core,"['https://cdn.petsathome.com/public/images/products/900_7122687.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122687_01.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122687_02.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122687_03.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122687_04.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122687_05.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122687_06.jpg']",4.6,139,1.8kg,2025-07-15,"Naturally supports healthy energy and lean muscles,Fresh turkey first to deliver tasty meals, bowl after bowl,Promotes digestive health with prebiotics, probiotics and dietary fibre,Low carbs, no fillers - grain free the right way, delivering high-protein, meat-rich nutrition,Hip and joint support from Glucosamine and Chondroitin Sulphate,Oral Health - Crunchy kibbles help reduce plaque build-up",Protein: 34%; Crude Fibres: 4%; Crude Oils and Fats: 16%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated,Buy One Get Second Half Price On Selected Wellness Core Dry Dog Food,"Every dog is a little different, so optimal feeding amount may vary with age, size, activity level, breed and environment. Divide the total grams per day by the number of times you feed your dog per day. Please use the information as an initial recommendation only and adjust as needed. Always provide access to clean, fresh water. DOGS OVER 30KG: Add 25 g per additional 5 kg. COMBINATION FEEDING: If feeding with wet food, reduce dry amount by 50g for every 170 g of wet food.","Turkey 28% (Fresh Turkey 15%, Dehydrated Turkey 13%), Chicken 25% (Dehydrated Chicken 14%, Chicken Fat 6%, Chicken Gravy 5%), Peas 14%, Dried Potatoes, Potato Protein, Beet Pulp 4%, Linseed 3%, Lignocellulose, Salmon Oil 1%, Carrots, Apples, Yeast Extract (source of mannan-oligosaccharides) 0,5%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, Broccoli, Spinach, Tomatoes, Blueberries 0,01%, Cranberries, D-Glucosamine Hydrochloride 100 mg/kg, Chondroitin Sulphate 100 mg/kg, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)","Wellness Core Medium Breed Adult Original is tailored to adult dog's nutritional needs, supporting optimal energy and body condition with all-natural ingredients and high-quality proteins. Grain free and protein rich with fresh turkey as the first ingredient plus a unique blend of wholesome vegetables and superfoods, leaving out fillers and grains."
https://www.petsathome.com/product/wellness-core-complete-small-breed-dry-adult-dog-food-turkey-with-chicken/7139002P,Wellness Core Complete Small Breed Adult Dry Dog Food Turkey with Chicken,7139002P,33.99,Wellness Core,"['https://cdn.petsathome.com/public/images/products/900_7139002.jpg', 'https://cdn.petsathome.com/public/images/products/900_7139002_01.jpg', 'https://cdn.petsathome.com/public/images/products/900_7139002_02.jpg', 'https://cdn.petsathome.com/public/images/products/900_7139002_03.jpg', 'https://cdn.petsathome.com/public/images/products/900_7139002_04.jpg', 'https://cdn.petsathome.com/public/images/products/900_7139002_05.jpg', 'https://cdn.petsathome.com/public/images/products/900_7139002_06.jpg']",0,0,5kg,,"Naturally supports healthy energy and lean muscles,Fresh turkey first to deliver tasty meals, bowl after bowl,Promotes digestive health with prebiotics, probiotics and dietary fibre,Low carbs, no fillers - grain-free the right way, delivering high-protein, meat-rich nutrition,Hip and joint support from Glucosamine and Chondroitin Sulphate,Small, crunchy kibbles help reduce plaque build-up and suit smaller mouths",Protein: 36%; Crude Fibres: 4%; Crude Oils and Fats: 16%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated,,"Every dog is a little different, so optimal feeding amount may vary with age, size, activity level, breed and environment. Divide the total grams per day by the number of times you feed your dog per day. Please use the information as an initial recommendation only and adjust as needed. Always provide access to clean, fresh water. <br /><br />Combination Feeding: If feeding with wet food, reduce dry amount by 14 g for every 2 tbsp. of wet food.","Turkey 32% (Fresh Turkey 16%, Dehydrated Turkey 16%), Chicken 30% (Dehydrated Chicken 16%, Chicken Fat 8%, Chicken Gravy 6%), Peas 20%, Potato Protein, Beet Pulp 4%, Linseed 3%, Dried Potatoes, Salmon Oil 1%, Lignocellulose, Carrots, Apples, Yeast Extract (source of mannan - oligosaccharides) 0,5%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, Broccoli, Spinach, Tomatoes, Blueberries, Cranberries 0,01%, Dried Peppermint, D-Glucosamine Hydrochloride 100 mg/kg, Chondroitin Sulphate 100 mg/kg, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)","Wellness Core Small Breed Adult Original is tailored to small breed dogs' nutritional needs, supporting optimal energy and body condition with all-natural ingredients and high-quality proteins. Grain-free and protein rich with fresh turkey as the first ingredient plus a unique blend of wholesome vegetables and superfoods, leaving out fillers and grains."
https://www.petsathome.com/product/wellness-core-complete-medium-breed-dry-adult-dog-food-turkey-with-chicken/7122691P,Wellness Core Complete Medium Breed Adult Dry Dog Food Turkey with Chicken,7122691P,49.99,Wellness Core,"['https://cdn.petsathome.com/public/images/products/900_7122691.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122691_01.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122691_02.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122691_03.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122691_04.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122691_05.jpg', 'https://cdn.petsathome.com/public/images/products/900_7122691_06.jpg']",4.6,139,10kg,,"Naturally supports healthy energy and lean muscles,Fresh turkey first to deliver tasty meals, bowl after bowl,Promotes digestive health with prebiotics, probiotics and dietary fibre,Low carbs, no fillers - grain-free the right way, delivering high-protein, meat-rich nutrition,Hip and joint support from Glucosamine and Chondroitin Sulphate,Oral Health - Crunchy kibbles help reduce plaque build-up",Protein: 34%; Crude Fibres: 4%; Crude Oils and Fats: 16%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated,,"Every dog is a little different, so optimal feeding amount may vary with age, size, activity level, breed and environment. Divide the total grams per day by the number of times you feed your dog per day. Please use the information as an initial recommendation only and adjust as needed. Always provide access to clean, fresh water. <br /><br />Dogs Over 30Kg: Add 25g per additional 5kg. Combination Feeding: If feeding with wet food, reduce dry amount by 50g for every 170g of wet food.","Turkey 28% (Fresh Turkey 15%, Dehydrated Turkey 13%), Chicken 25% (Dehydrated Chicken 14%, Chicken Fat 6%, Chicken Gravy 5%), Peas 14%, Dried Potatoes, Potato Protein, Beet Pulp 4%, Linseed 3%, Lignocellulose, Salmon Oil 1%, Carrots, Apples, Yeast Extract (source of mannan-oligosaccharides) 0,5%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, Broccoli, Spinach, Tomatoes, Blueberries 0,01%, Cranberries, D-Glucosamine Hydrochloride 100 mg/kg, Chondroitin Sulphate 100 mg/kg, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)","Wellness Core Medium Breed Adult Original is tailored to adult dog's nutritional needs, supporting optimal energy and body condition with all-natural ingredients and high-quality proteins. Grain free and protein rich with fresh turkey as the first ingredient plus a unique blend of wholesome vegetables and superfoods, leaving out fillers and grains."
https://www.petsathome.com/product/wellness-core-95-percent-wet-adult-dog-food-beef-with-broccoli/7132279P,Wellness Core 95% Wet Adult Dog Food Beef with Broccoli,7132279P,3.29,Wellness Core,"['https://cdn.petsathome.com/public/images/products/900_7132279.jpg', 'https://cdn.petsathome.com/public/images/products/900_7132279_01.jpg', 'https://cdn.petsathome.com/public/images/products/900_7132279_02.jpg', 'https://cdn.petsathome.com/public/images/products/900_7132279_03.jpg', 'https://cdn.petsathome.com/public/images/products/900_7132279_04.jpg']",4.3,7,400g,,"Grain free goodness - To support their sensitive tummies,Tasty pate - With 95% animal protein ingredients from a single protein source,Complete and balanced - Enriched with vitamins and minerals,Limited ingredient list - Made from ingredients you can trust",Protein: 11%; Crude Fibres: 0.4%; Crude Oils and Fats: 7.3%; Crude Ash: 2.4%; Moisture: 72%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated,,We know how important it is to feed your cat the right amount. That's why we adapt our feeding guide to each of our products. Please use the information as an initial guide only and adjust as needed.,"95% Beef [66% (Hearts, Meat, Livers, Lungs), 29% Beef Broth], 3,5% Broccoli, 1% Minerals, 0,5% Sunflower Oil","Wellness CORE 95% Beef with Broccoli is a delicious recipe that provides a natural, complete and balanced meal: made with 95%* of beef combined with tasty veggie pieces. Grain free, single protein source and fortified with vitamins and minerals to ensure your dog has the nutrition he needs to thrive from the CORE.*95% animal origin ingredients from a single protein source."
https://www.petsathome.com/product/wellness-core-puppy-trainers-treats-chicken-flavoured-with-carrots-grainfree/7146086P,Wellness Core Grain Free Puppy Treats Chicken,7146086P,3.49,Wellness Core,"['https://cdn.petsathome.com/public/images/products/900_7146086.jpg', 'https://cdn.petsathome.com/public/images/products/900_7146086_01.jpg', 'https://cdn.petsathome.com/public/images/products/900_7146086_02.jpg', 'https://cdn.petsathome.com/public/images/products/900_7146086_03.jpg', 'https://cdn.petsathome.com/public/images/products/900_7146086_04.jpg', 'https://cdn.petsathome.com/public/images/products/900_7146086_05.jpg']",5,1,170g,,,"Protein 19%, Crude Fibres 2.4%, Crude Oils and Fats 11%, Crude Ash 4%, Moisture Not stated",,,"Chicken 26% (Dehydrated Chicken 16%, Hydrolysed Chicken Protein 6%, Chicken Fat 4%), Peas, Chickpeas, Glycerine, Tapioca Starch, Carrots 4%, Linseed 2%, Salmon Oil 2%, Beet Molasses, Dried Alfalfa, Dried Nettles, Dried Seaweed, Dried Apples, Dried Bilberries, Dried Lingonberries, Dried Blueberries, Dried Cranberries, Dried Sweet Potatoes, Dried Parsley, Dried Spirulina","Crafted with all the Wellness CORE nutrition principles in mind to create an all-natural, grain free treat. Wellness CORE Puppy Trainers Chicken flavoured with carrots are a chicken-based recipe, including guaranteed levels of DHA from salmon oil, which supports brain and eye development. Small, soft treats, perfect for fun and guilt-free training, treating and bonding moments with your growing puppy."
https://www.petsathome.com/product/wellness-core-complete-sterilised-dry-adult-cat-food-chicken-with-turkey/7124137P,Wellness Core Sterilised Adult Dry Cat Food Chicken with Turkey,7124137P,18.79,Wellness Core,"['https://cdn.petsathome.com/public/images/products/900_7124137.jpg', 'https://cdn.petsathome.com/public/images/products/900_7124137_01.jpg', 'https://cdn.petsathome.com/public/images/products/900_7124137_02.jpg', 'https://cdn.petsathome.com/public/images/products/900_7124137_03.jpg', 'https://cdn.petsathome.com/public/images/products/900_7124137_04.jpg', 'https://cdn.petsathome.com/public/images/products/900_7124137_05.jpg', 'https://cdn.petsathome.com/public/images/products/900_7124137_06.jpg', 'https://cdn.petsathome.com/public/images/products/300_7124137_07.jpg']",4,14,1.75kg,,"Fresh Chicken as the first ingredient to delight cats with a taste they love,Promotes digestive health with prebiotics, probiotics and dietary fibre,Low carbs, no fillers for grain free the right way, delivering high-protein, meat-rich nutrition,Taurine supports a healthy heart,Vitamins, minerals and high-quality antioxidants promote immune system support,Hairball control with the inclusion of dietary fibre",Protein: 38%; Crude Fibres: 4.5%; Crude Oils and Fats: 13%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated,,"See chart. Divide the total grams per day by the total number of times you feed your cat per day. Please use the information as an initial recommendation only and adjust as needed. Always provide access to clean, fresh water. CATS OVER 7 KG: Add up to 25 g for each additional 1 kg of body weight. COMBINATION FEEDING: If feeding with Wellness CORE wet food, reduce dry amount by 19g for every 80g of wet food.","Chicken 54% (Fresh Chicken 16%, Dried Chicken Protein 16%, Dehydrated Chicken 15%, Chicken Fat 4%, Hydrolyzed Chicken Protein 3%), Peas 15%, Dried Potatoes, Dehydrated Turkey 4%, Beet Pulp 4%, Dried Flavour, Lignocellulose, Linseed 1%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, D-Glucosamine Hydrochloride 300 mg/kg, Chondroitin Sulphate 200 mg/kg, Cranberries 0,01%, Dried Kelp, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)","Wellness Core Sterilised Adult Original has a lower calorie content to suit sterilised and less active cats' nutritional needs, promoting healthy energy levels and lean body condition. With high quality protein ingredients in a natural, complete and balanced recipe along with a unique blend of wholesome vegetables, superfoods, botanicals and natural nutritional supplements, this nutrient-dense recipe helps support their optimum health, weight and longevity."
https://www.petsathome.com/product/wellness-core-complete-original-sterilised-dry-adult-cat-food-chicken-and-turkey/7141715P,Wellness Core Sterilised Adult Dry Cat Food Chicken & Turkey,7141715P,31.99,Wellness Core,"['https://cdn.petsathome.com/public/images/products/900_7141715.jpg', 'https://cdn.petsathome.com/public/images/products/900_7141715_01.jpg', 'https://cdn.petsathome.com/public/images/products/900_7141715_02.jpg', 'https://cdn.petsathome.com/public/images/products/900_7141715_03.jpg', 'https://cdn.petsathome.com/public/images/products/900_7141715_04.jpg', 'https://cdn.petsathome.com/public/images/products/900_7141715_05.jpg', 'https://cdn.petsathome.com/public/images/products/900_7141715_06.jpg']",0,0,4kg,,"Fresh Chicken as the first ingredient to delight cats with a taste they love,Promotes digestive health with prebiotics, probiotics and dietary fibre,Low carbs, no fillers for grain free the right way, delivering high-protein, meat-rich nutrition,Taurine supports a healthy heart,Vitamins, minerals and high-quality antioxidants promote immune system support,Hairball control with the inclusion of dietary fibre",Protein: 38%; Crude Fibres: 4.5%; Crude Oils and Fats: 13%; Crude Ash: 8%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated,,"See chart. Divide the total grams per day by the total number of times you feed your cat per day. Please use the information as an initial recommendation only and adjust as needed. Always provide access to clean, fresh water. CATS OVER 7 KG: Add up to 25 g for each additional 1 kg of body weight. COMBINATION FEEDING: If feeding with Wellness CORE wet food, reduce dry amount by 19g for every 80g of wet food.","Chicken 54% (Fresh Chicken 16%, Dried Chicken Protein 16%, Dehydrated Chicken 15%, Chicken Fat 4%, Hydrolyzed Chicken Protein 3%), Peas 15%, Dried Potatoes, Dehydrated Turkey 4%, Beet Pulp 4%, Dried Flavour, Lignocellulose, Linseed 1%, Dried Chicory Root (source of Fructo-oligo-saccharides and Inulin) 0,5%, D-Glucosamine Hydrochloride 300 mg/kg, Chondroitin Sulphate 200 mg/kg, Cranberries 0,01%, Dried Kelp, Yucca Schidigera, Mixed Herbs (Dried Rosemary, Dried Turmeric, Dried Citrus, Dried Eugenia)","Wellness Core Sterilised Adult Original has a lower calorie content to suit sterilised and less active cats' nutritional needs, promoting healthy energy levels and lean body condition. With high quality protein ingredients in a natural, complete and balanced recipe along with a unique blend of wholesome vegetables, superfoods, botanicals and natural nutritional supplements, this nutrient-dense recipe helps support their optimum health, weight and longevity."
https://www.petsathome.com/product/wellness-core-tender-cuts-in-savoury-gravy-cat-food-salmon-and-tuna/7124148P,Wellness Core Tender Cuts Adult Wet Cat Food Salmon & Tuna,7124148P,1.69,Wellness Core,"['https://cdn.petsathome.com/public/images/products/900_7124148.jpg', 'https://cdn.petsathome.com/public/images/products/900_7124148_01.jpg', 'https://cdn.petsathome.com/public/images/products/900_7124148_02.jpg', 'https://cdn.petsathome.com/public/images/products/900_7124148_03.jpg']",3,2,85g,,"Grain free wet cat nutrition - To support sensitive tummies,Delicious recipes rich in meat - To guarantee a taste cats love,All natural, complete and balanced nutrition - Enriched with vitamins and minerals,Naturally hypo-allergenic - No soy, dairy, artificial colours, flavours or preservatives,Tempting textures - Slow cooked tender cuts in tasty gravy",Protein: 7%; Crude Fibres: 0.1%; Crude Oils and Fats: 0.54%; Crude Ash: 1.4%; Moisture: 80%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated,,We know how important it is to feed your cat the right amount. That's why we adapt our feeding guide to each of our products.,"Chicken Broth, Chicken 19%, Salmon 6%, Tuna 6%, Potato Starch, Eggs, Carrots 3%, Chicken Liver, Minerals, Cranberries, Blueberries, White Sweet Potatoes","With taste in mind but health at heart: Wellness CORE Tenders Cuts with Salmon and Tuna in Savoury Gravy are grain free natural slow cooked tender cuts of poultry combined with healthy veggies and fruits served in savoury sauces that deliver an irresistible taste. Tender Cuts are complete and balanced meals with a range of protein-rich recipes to keep mealtime tasty and tender, savoury, saucy and fresh to please even the most finicky of eaters."
https://www.petsathome.com/product/acana-complete-small-breed-dry-adult-dog-food-chicken-turkey-and-fish/P71194,ACANA Small Breed Adult Dry Dog Food with Chicken Turkey & Fish,P71194,20.49,Acana,"['https://cdn.petsathome.com/public/images/products/3000_P71194.jpg', 'https://cdn.petsathome.com/public/images/products/3000_7146314_01.jpg', 'https://cdn.petsathome.com/public/images/products/3000_7146314_02.jpg']",5,2,2kg,,"WHOLESOME NUTRITION - Fresh or raw* poultry, wild-caught or farmed fish and eggs balanced with vegetables, fruit & botanicals. No artificial preservatives, flavours or colours added in our kitchen. No soy, corn, tapioca or wheat ingredients.  *Our fresh ingredients use refrigeration as the sole method of preservation. Our raw ingredients are frozen at the peak of freshness to preserve nutrients,60% QUALITY ANIMAL INGREDIENTS* - Contains protein-rich quality animal ingredients. *Approximate and derived from the unprocessed state of the ingredients,WHOLEPREY DIET - WholePrey ratios of meat, organs and edible bone from fresh chicken and raw flounder, with the added nutrition of eggs,DEVELOPMENT & HEALTH SUPPORT - Rich in animal protein to support your small breed dog's peak development and health,ALL BREEDS SUITABLE - ACANA Adult Small Breed is suitable for small breeds such as Chihuahua, Yorkshire Terrier, Shih Tzu, Italian Greyhound, Whippet, Beagle and Cocker Spaniel",Protein: 31%; Crude Fibres: 5%; Crude Oils and Fats: 15%; Crude Ash: 7.5%; Moisture: 12%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated,,1 Cup = 120g of food,"Fresh chicken (14%), chicken meal (14%), whole red lentils, whole green peas, whole chickpeas, turkey meal (6.5%), chicken fat (6%), fresh chicken giblets (liver, heart) (4%), fresh egg (4%), raw hake (4%), fish oil (4%), herring meal (3%), whole green lentils, whole yellow peas, lentil fibre, pea starch, raw turkey liver (0.5%), salt, dried kelp, fresh whole pumpkin, fresh whole butternut squash, fresh whole carrots, fresh whole apples, fresh whole pears, fresh whole zucchini, dried chicory root, fresh kale, fresh spinach, fresh turnip greens, fresh beet greens, whole cranberries, whole blueberries, whole saskatoon berries, turmeric, milk thistle, burdock root, lavender, marshmallow root, rosehips.","Small-breed dogs have the same nutritional requirements as larger dogs. This means they need a diet that is rich and varied in whole animal ingredients, in order to get the protein and nutrients they require for peak health. ACANA Small Breed is loaded with chicken and raw flounder, with the added nutrition of eggs, delivering everything your small-breed dog needs in order to stay happy, healthy, and strong."
