pdp_url,product_name,regular_price,art_number,material_composition,clothing_length,clothing_fit,country_of_origin,neck_style,style,care_instruction,color,sleeve_length_style,images
https://www2.hm.com/en_in/productpage.1089811001.html,Long-sleeved jersey top,699.0,1089811001,"Polyester 88%, Elastane 12%",Regular length,Slim fit,Myanmar,Square neckline,,"Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Medium iron, Can be dry cleaned, Wash with similar colours",Black,Long sleeve,"['https://image.hm.com/assets/hm/34/b8/34b849d2291d772579c6e69c23d628848b2b227c.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/84/f6/84f638c69f62de4bf16b12b96f189b2672627760.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/4a/ba/4abaa1c290cf0d39eec73f18ea15ab359edbd37e.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1293219004.html,Microfibre vest top,699.0,1293219004,"Elastane 87%, Polyester 13%",Regular length,Slim fit,China,"Deep neckline, Round neck",Vest top,"Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Medium iron, Can be dry cleaned",Light green,,"['https://image.hm.com/assets/hm/24/d5/24d5808a499c19c6c802469ff7cf15874889c185.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/8c/33/8c336d77682c94cd17816327e222486bc8e84a95.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/39/40/394081dafcaf63a32198d1f0100382f70988b848.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/68/21/6821ca5f4a5efd28b015d52cb885d241536e5553.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/20/8c/208c8905b480c3dc5b627c838e7812158aed4e9c.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1267382002.html,Crinkled short-sleeved shirt,999.0,1267382002,"Polyester 98%, Elastane 2%",Regular length,Regular fit,Cambodia,,Polo shirt,"Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Can be dry cleaned, Wash with similar colours, No iron",Navy blue,,"['https://image.hm.com/assets/hm/b2/5d/b25dad3e5deead366f5459e8446e224f23f53140.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/b6/2d/b62d629dc6f3a5fb571a763c9dc93f00b942fb98.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/71/68/716829a377eca6101ab62e3ffcb9b30b142c455a.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/de/fa/defacd8ee17a9686a5d97891b55f65aaa44f86ee.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/92/39/9239bca4214bdcd4b88da2c5b563216ad1a72720.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/eb/0b/eb0bc7cb73feddda0b0509a1e3abbc275be06abf.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1283557003.html,Fitted vest top,799.0,1283557003,"Cotton 97%, Elastane 3%",Regular length,Slim fit,Bangladesh,Deep neckline,Vest top,,Navy blue,Sleeveless,"['https://image.hm.com/assets/hm/82/df/82dff976b0f3e0881ceb04325defeac03266d342.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/38/10/381063f6c906e7bfc5ee5e9a7bccfba52c71e90e.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/14/be/14be7d0c478a6d3d3f9c5dcb92a806869ef0e9ee.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/65/fd/65fd1d5f7c1aed7a9fc0d8a1522e411b15a70f50.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/e1/26/e1264e2dd745c6ade468a36ca9eda3d85759832f.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1290225001.html,Ruched strappy top,799.0,1290225001,"Polyester 93%, Elastane 7%",Regular length,Regular fit,Myanmar,Square neckline,"Draped, Strappy top","Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Medium iron, Can be dry cleaned, Wash with similar colours",Cream,,"['https://image.hm.com/assets/hm/1a/a2/1aa26867e3a40b197212239c99ec8327ba71ecde.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/77/58/775847b275f15ad7b39c31e71f2b707dc6106fc5.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/21/42/21420d2d93a95b9c138b3833a143b7d2ce129978.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/fc/cd/fccd00fff92aeccc971cda0047056c179d436afe.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1290227003.html,One-shoulder top,799.0,1290227003,"Polyester 88%, Elastane 12%",Regular length,Slim fit,China,Asymmetric neckline,"Draped, One-shoulder","Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Medium iron, Can be dry cleaned, Wash with similar colours",Golden olive,Sleeveless,"['https://image.hm.com/assets/hm/c3/83/c3837348bdfb027022a0fc5e3f1635a15497d3a5.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/f4/3b/f43bafcde114a42ce3e8bdc8b733311ee6994458.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/63/24/632468ca799fadbb5286d02c887df63a047f251c.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/4a/45/4a45f27e5d0baca13e4d185e4bb559346def1029.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1296404002.html,Broderie anglaise-detail top,999.0,1296404002,"Polyester 73%, Viscose 22%, Elastane 5%",Short,Slim fit,China,"Deep neckline, Square neckline",,"Use a laundry bag, Line dry, Only non-chlorine bleach when needed, Machine wash at 30°, Can be dry cleaned, Low iron",White,Short sleeve,"['https://image.hm.com/assets/hm/2f/79/2f7992c189fcb9ed3de4bc36356a75b18364bd88.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/77/1f/771f2bcf235f995e2863786dc18e947cd9fdf7e6.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/fa/d2/fad24872e6d7cb4a7a46a2a9d584baf31a4c5430.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/5b/77/5b7773c1052187997e4f86e97e90054a1becfead.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/3c/25/3c25f010a576dbc4dbe2e0204046f976990f26c2.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/e4/a0/e4a07f8986bc493385effd330825ccdf7c3a910e.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1049251001.html,Cropped vest top,699.0,1049251001,"Cotton 95%, Elastane 5%",Cropped,Slim fit,Bangladesh,,Vest top,"Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Medium iron, Can be dry cleaned, Wash with similar colours",Black,Sleeveless,"['https://image.hm.com/assets/hm/ab/0f/ab0fd7b4bf4b045cef7c67e1a9c1f3596accbc5b.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/67/12/6712f9a092ef4f72406363be8ec8520e805a33b1.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/08/89/0889c23eee84093001defe4bab0d56b13ac0afa9.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/78/4f/784ff2a6dc108dd9443fd69790bd0326bc6eff75.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/7a/e3/7ae3ab318c61fc3caa070831eccc0e2383e3f7bb.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1289929003.html,Draped top,799.0,1289929003,"Polyester 96%, Elastane 4%",Short,Slim fit,Vietnam,Cowl neck,Draped,"Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Medium iron, Can be dry cleaned",Burgundy,Sleeveless,"['https://image.hm.com/assets/hm/3b/10/3b1053067966b740c11424e604e66519a39f5dd6.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/93/93/939360ea49003bcc779098f66b5de288fc1a8a19.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/92/a1/92a1c553d3bc8346f08e905d1dcb3a3f17cdef01.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/c4/08/c4083e44e08e86e3add9c0968b09dba4042b2319.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/2b/72/2b72b75eb9fc0b780dd6fa524ab65ccec36d9890.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/9a/f1/9af115e060fec17e06b676bc34e21242e8f23e92.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1293575004.html,One-shoulder top,1199.0,1293575004,"Polyester 98%, Elastane 2%",Short,Slim fit,China,Asymmetric neckline,One-shoulder,"Use a laundry bag, Line dry, Only non-chlorine bleach when needed, Medium iron, Machine wash at 30°, Can be dry cleaned",Burgundy,,"['https://image.hm.com/assets/hm/a3/82/a382c706f09583cb9e6687fa9f9fa2e6c19c530f.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/7b/d4/7bd4ef78d8530a36237b1a7170a1f98c3f2b153d.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/14/00/14007a9c10dba5adfa02b6a8960434ef551ef14c.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/b6/76/b676daf4cba94381b69f57ea4afb9a3f81088bd0.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/6b/ae/6bae739769216adf8bba24fa46d4a2449e2e53a8.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/d4/12/d4123d5b8fced3eb930c0f73ec8ecf5402531f56.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1290445003.html,Smocked strappy top,1199.0,1290445003,Polyester 100%,Regular length,Slim fit,China,Halterneck,"Draped, Peplum, Smocked, Strappy top","Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Can be dry cleaned, Wash with similar colours, No iron",Blue,,"['https://image.hm.com/assets/hm/38/b1/38b1f5ca25df8a74f833c472934a3ebe31563c9d.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/ff/2b/ff2b43435f52308dd40baa6542b849a33cff7c4a.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/ce/74/ce74293446b3d5349bf2b4853029f38ff4f3e0b6.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/09/f3/09f3bc80a9b2df4ded9bef071fc1eecc2b65eb26.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/e0/82/e082c351ac4760ed35d67dd090fbad4b071ba50f.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/21/45/21453b5042edc75e3985e53400d63554f5c32254.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1049251045.html,Cropped vest top,699.0,1049251045,"Cotton 95%, Elastane 5%",Cropped,Slim fit,India,,Vest top,,Pink,Sleeveless,"['https://image.hm.com/assets/hm/ae/f0/aef0484ab3bfc583e10be08457461afd9a7ff74a.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/3e/30/3e30f1bb5accb7152bb83c0137eaec4a439bfe1e.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/a4/62/a4624be5e2ee5d1f8323087f19b6b03902461eef.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/fe/54/fe5433cf8262c478f3d22ea16768a97fe3e5da05.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/71/ba/71ba7f2dfdb11e9dd70c78081ea184b6c46b31b9.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1282605007.html,Crochet-look vest top,1499.0,1282605007,"Polyester 82%, Cotton 18%",Short,Regular fit,China,Round neck,Vest top,"Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Medium iron, Can be dry cleaned",Light blue,Sleeveless,"['https://image.hm.com/assets/hm/a9/5e/a95e74249b742e16543750135b01b623e5ca1d0f.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/24/15/2415f73503e7f34dc7a5d1da5dcf70d81455be5d.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/66/b3/66b3048e1c50615fa79c2b2e34b4df371560cb7b.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/89/1d/891d0794a0f262dac07fd1d8447f8920469a27a2.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/82/e9/82e924fff27af1d6818801ba7c158cf3e8db6634.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/e8/98/e898200fa809a506f98a2cba545ef4f395fea4bf.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1292677001.html,Ribbed tube top,399.0,1292677001,"Cotton 95%, Elastane 5%",Short,Slim fit,India,,Tube top,,Black,,"['https://image.hm.com/assets/hm/dc/70/dc7062e8e9001dacc32ae3568329d746c82e76d8.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/88/ce/88ce76b86495385778c79608ec42a0ecbdf5d3f2.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/03/1f/031f5126f299ea899f59fcadcde056a787d03c0c.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/4c/40/4c406a9c907203731a14689e5c54368f06caf4c9.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/22/74/22745347a748708a822cf98ff69df08e2041025d.jpg?imwidth=2160']"
