pdp_url,product_name,instock,discount,sale_price,mrp
https://kuludonline.com/collections/medicines-offers/products/betadine-sorethroat-lozenges-honey-lemon-24s-24pc,Betadine Sorethroat Lozenges Honey & Lemon 24'S 24PC,True,,30.0,
https://kuludonline.com/collections/medicines-offers/products/webber-naturals-probiotic-30-billion-capsule-30-cap,Webber Natural'S Probiotic 30 Billion Capsule 30 CAP,True,20%,123.2,154.00
https://kuludonline.com/collections/medicines-offers/products/betadine-sorethroat-lozenges-menthol-eucalyptus-24s-24pc,Betadine Sore Throat Lozenges Cooling Menthol & Eucalyptus -24 Capsules,True,,30.0,
https://kuludonline.com/collections/medicines-offers/products/marnys-neocarbon-capsule-30-pc,Marnys Neocarbon Capsule 30 PC,True,30%,29.4,42.00
https://kuludonline.com/collections/medicines-offers/products/special-kid-nose-and-throat-syrup-125ml,Special Kid Nose And Throat Syrup 125ML,True,25%,36.0,48.00
https://kuludonline.com/collections/medicines-offers/products/medex-apisirup-honey-syrup-140-ml,Medex Apisirup Honey Syrup 140 ML,False,20%,39.2,49.00
https://kuludonline.com/collections/medicines-offers/products/arthri-flex-cream-100-gm,AG ARTHRI FLEX 100GM CREAM,True,,88.0,
https://kuludonline.com/collections/medicines-offers/products/olbas-inhaler-inhalation-vapour-695-mg,Olbas Inhaler Inhalation Vapour 695 MG,False,33%,16.0,24.00
https://kuludonline.com/collections/medicines-offers/products/medex-propolis-forte-lozenges-18-pc,Medex Propolis Forte Lozenges 18 PC,True,20%,38.4,48.00
https://kuludonline.com/collections/medicines-offers/products/webber-naturals-acidophilus-bifidus-billion-capsule-60-pc,Webber Naturals Acidophilus Bifidus Billion Capsule 60 PC,True,20%,89.6,112.00
https://kuludonline.com/collections/medicines-offers/products/olbas-oil-for-children-inhalant-decongestant-12-ml,Olbas Oil For Children Inhalant Decongestant 12 Ml,True,25%,29.25,39.00
https://kuludonline.com/collections/medicines-offers/products/diethon-syrup-150-ml,Diethon Syrup 150 ML,True,20%,60.0,75.00
https://kuludonline.com/collections/medicines-offers/products/olbas-oil-inhalant-decongestant-30-ml,Olbas Oil Inhalant Decongestant 30 Ml,True,25%,36.75,49.00
https://kuludonline.com/collections/medicines-offers/products/olbas-oil-inhalant-decongestant-12ml,Olbas Oil Inhalant Decongestant 12Ml,True,25%,29.25,39.00
https://kuludonline.com/collections/medicines-offers/products/now-pure-eucalyptus-oil-30ml,NOW Pure Eucalyptus Oil 30ml,True,30%,34.3,49.00
https://kuludonline.com/collections/medicines-offers/products/vilco-corncure-solution-12-ml,Vilco Corncure Solution 12 ml,True,25%,14.25,19.00
https://kuludonline.com/collections/medicines-offers/products/vilco-ketovil-ketoconazole-soap-75-g,Vilco Ketovil Ketoconazole Soap 75 g,True,25%,9.0,12.00
https://kuludonline.com/collections/medicines-offers/products/vilcolab-magnesium-sulphate-epsom-salt-powder-500-gm,Vilcolab Magnesium Sulphate (Epsom Salt) Powder 500 GM,False,,30.0,40.00
https://kuludonline.com/collections/medicines-offers/products/vilcolab-magnesium-sulphate-epsom-salt-powder-100-gm,Vilcolab Magnesium Sulphate (Epsom Salt) Powder 100 GM,False,,9.75,13.00
https://kuludonline.com/collections/medicines-offers/products/vilcolab-boric-acid-powder-100-gm,Vilcolab Boric Acid Powder 100 GM,False,,7.5,10.00
https://kuludonline.com/collections/medicines-offers/products/vilco-ichthammol-ointement-25-gm,Vilco Ichthammol Ointement 25 GM,False,,11.25,15.00
https://kuludonline.com/collections/medicines-offers/products/vilcolab-calamin-lotion-100-ml,Vilcolab Calamin Lotion 100 ML,False,,7.5,10.00
https://kuludonline.com/collections/medicines/products/diane-35-tablet-21-tab,Diane 35 Tablet 21 Tab,True,,23.0,
https://kuludonline.com/collections/medicines/products/navela-1-5mg-tab-1s-1tab,Navela 1.5Mg Tab. 1'S 1TAB,True,,40.0,
https://kuludonline.com/collections/medicines/products/panadol-all-in-one-tablet-24-pc,Panadol All In One Tablet 24 PC,True,,15.0,
https://kuludonline.com/collections/medicines/products/yasmin-tablet-21-pc,Yasmin Tablet 21 PC,True,,29.0,
https://kuludonline.com/collections/medicines/products/otrivin-adult-nasal-spray-0-1-10-ml,Otrivin Nasal Spray 0.1 %- 10 ML,True,,17.0,
https://kuludonline.com/collections/medicines/products/panadol-extra-optizorb-tablet-48-tab,Panadol Extra Optizorb Tablet 48 Tab,True,,22.0,
https://kuludonline.com/collections/medicines/products/panadol-cold-flu-green-tablet-24-pc,Panadol Cold+Flu Green Tablet 24 PC,True,,13.0,
https://kuludonline.com/collections/medicines/products/fludrex-tab-24s-capsule-24-tab,Fludrex Tab 24'S Capsule 24 TAB,True,,14.0,
https://kuludonline.com/collections/medicines/products/panadol-night-tablet-24-pc,Panadol Night Tablet 24 PC,True,,16.0,
https://kuludonline.com/collections/medicines/products/panadol-baby-and-infant-suspension-100-ml,Panadol Baby And Infant Suspension - 100 ML,True,,7.0,
https://kuludonline.com/collections/medicines/products/prospan-syrup-100-ml,Prospan Syrup 100 ML,True,,34.79,
https://kuludonline.com/collections/medicines/products/ventolin-inhalation-vapour-100-mcg-200-do,Ventolin Evohaler,True,,19.0,
https://kuludonline.com/collections/medicines/products/panadol-child-5-12-year-elixir-240-100-ml,Panadol Child (5 -12 Year) Elixir - 100 ML,True,,18.0,
https://kuludonline.com/collections/medicines/products/skinoren-cream-30-gm,Skinoren Cream -30 GM,True,,34.0,
https://kuludonline.com/collections/medicines/products/dulcolax-gastro-resistant-tablet-5-mg-40-pc,Dulcolax Gastro-Resistant  -Tablet 5 Mg 40 PC,True,,12.0,
https://kuludonline.com/collections/medicines/products/betadine-throat-spray-50-ml,Betadine Throat Spray - 50 ML,True,,43.5,
https://kuludonline.com/collections/medicines/products/zyrtec-syrup-0-1-75-ml,Zyrtec Syrup 0.1 % 75 ML,True,,18.0,
https://kuludonline.com/collections/medicines/products/clarinase-tablet-14-pc,Clarinase Tablet - 14 PC,True,,22.0,
https://kuludonline.com/collections/medicines/products/panadol-cold-flu-day-tablet-24-pc,Panadol Cold+Flu Day Tablet 24 PC,True,,13.0,
https://kuludonline.com/collections/medicines/products/bepanthene-moisture-cream-30-gm,Bepanthene Moisture Cream 30 GM,True,,12.0,
https://kuludonline.com/collections/medicines/products/panadol-cold-flu-vapour-release-sachets-10-pc,Panadol Cold+Flu Vapour Release Sachets 10 PC,True,,21.0,
https://kuludonline.com/collections/medicines/products/brufen-syrup-100-mg-100-ml,Brufen Syrup 100 Mg 100 ML,True,,12.0,
https://kuludonline.com/collections/medicines/products/brufen-tablet-600-mg-30-pc,Brufen Tablet 600 Mg 30 PC,True,,20.0,
https://kuludonline.com/collections/medicines/products/claritine-tablet-10-mg-10-pc,Claritine Antihistamine 10 Mg - 10 Tabs,True,,19.0,
https://kuludonline.com/collections/medicines/products/flagyl-400mg-tab-14s-tablet-400-mg-14-pc,Flagyl 400Mg Tab 14'S Tablet 400 Mg 14 PC,True,,18.0,
https://kuludonline.com/collections/medicines/products/panadol-migraine-tablet-24-pc,Panadol Migraine Tablet - 24 PC,True,,26.0,
https://kuludonline.com/collections/medicines/products/diflucan-hard-capsule-150-mg-1-pc,Diflucan  Antifungal Reduce Fungal Infections -150 Mg  1 Capsule,True,,35.0,
https://kuludonline.com/collections/medicines/products/voltfast-sachets-50-mg-9-pc,Voltfast Sachets 50 Mg 9 PC,True,,19.0,
https://kuludonline.com/collections/medicines/products/imodium-instants-dispersible-tablet-2-mg-6-tab,Imodium Instants Dispersible Tablet 2 Mg 6 Tab,False,,13.0,
https://kuludonline.com/collections/medicines/products/panadol-actifast-tablet-20-pc,Panadol Actifast Tablet -20 PC,True,,10.0,
https://kuludonline.com/collections/vitamins-supplements-offers/products/amerix-melatonin-gummy-5-mg-60-pc,Amerix Melatonin Gummy 5 Mg 60 PC,True,25%,49.88,66.50
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-melatonin-tablet-5-mg-60-pc,Webber Naturals Melatonin Tablet 5 Mg 60 PC,True,20%,27.2,34.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-vitamin-d3-hard-capsule-50000-i-u-30-pc,Health Aid Vitamin D3 Health Aid rd Capsule 50000 I.U 30 PC,True,25%,106.88,142.50
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-melatonin-magnesium-tablet-10-150-mg-60-tab,Webber Naturals Melatonin Magnesium Tablet 10/150 Mg 60 Tab,True,20%,79.2,99.00
