pdp_url,breadcrumb,grammage,selling_price,orginal_price,promotion_description,image
https://www.cvs.com/shop/cvs-health-melatonin-tablets-60-ct-prodid-346979,Home > Shop > Vitamins > Supplements > Melatonin,14.3¢/ea.,8.59,,"Buy 1, get 1 50% off",https://www.cvs.com/bizcontent/merchandising/productimages/high_res/50428374382.jpg
https://www.cvs.com/shop/azo-urinary-tract-health-dietary-supplement-cranberry-softgels-120-ct-prodid-640772,Home > Shop > Vitamins > Supplements > Urinary Tract Health,17.9¢/ea.,21.49,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/787651760230.jpg
https://www.cvs.com/shop/nature-s-truth-beauty-collagen-types-1-3-gummies-60-ct-prodid-709838,Home > Shop > Vitamins > Supplements > Collagen,29.6¢/ea.,17.79,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/84009311375.jpg
https://www.cvs.com/shop/viviscal-extra-strength-hair-growth-vitamins-tablets-60ct-prodid-1012946,Home > Shop > Vitamins > Supplements > Biotin,,,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/85213500436.jpg
https://www.cvs.com/shop/cvs-health-hair-skin-nails-biotin-gummies-80-ct-prodid-966750,Home > Shop > Vitamins > Supplements > Biotin,11.6¢/ea.,9.29,,"Buy 1, get 1 50% off",https://www.cvs.com/bizcontent/merchandising/productimages/high_res/5042838112.jpg
https://www.cvs.com/shop/cvs-health-melatonin-5-mg-tablets-120-ct-prodid-1280123,"Home > Shop > Health & Medicine > Cough, Cold & Flu > Sleep & Snoring Aids > Sleep Medicine & Supplements",10.4¢/ea.,12.49,,"Buy 1, get 1 50% off",https://www.cvs.com/bizcontent/merchandising/productimages/high_res/5042836687.jpg
https://www.cvs.com/shop/natrol-melatonin-10mg-gummies-140-ct-prodid-429332,Home > Shop > Vitamins > Supplements > Melatonin,19.1¢/ea.,26.69,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/4746907683.jpg
https://www.cvs.com/shop/cvs-health-l-lysine-caplets-prodid-249706,Home > Shop > Vitamins > Supplements > Biotin,8.0¢/ea.,7.99,,"Buy 1, get 1 50% off",https://www.cvs.com/bizcontent/merchandising/productimages/high_res/5042830125.jpg
https://www.cvs.com/shop/renew-life-women-s-care-vaginal-women-s-probiotic-supplement-30-vegetarian-capsules-50-billion-cfu-prodid-724034,Home > Shop > Vitamins > Supplements > Prebiotics & Probiotics,,,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/631257535610.jpg
https://www.cvs.com/shop/cvs-health-melatonin-gummies-strawberry-10mg-60-ct-prodid-481917,"Home > Shop > Health & Medicine > Cough, Cold & Flu > Sleep & Snoring Aids > Sleep Medicine & Supplements",20.3¢/ea.,12.19,,"Buy 1, get 1 50% off",https://www.cvs.com/bizcontent/merchandising/productimages/high_res/5042851430.jpg
https://www.cvs.com/shop/nature-s-truth-apple-cider-vinegar-1200-mg-prodid-524868,Home > Shop > Vitamins > Supplements > Apple Cider Vinegar,17.5¢/ea.,10.49,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/84009310200.jpg
https://www.cvs.com/shop/nature-s-truth-extra-strength-melatonin-gummies-10-mg-70-ct-prodid-436490,Home > Shop > Vitamins > Supplements > Melatonin,,,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/84009311371.jpg
https://www.cvs.com/shop/preservision-areds-2-formula-eye-vitamin-mineral-supplement-soft-gels-prodid-1040130,Home > Shop > Vitamins > Supplements > Lutein,44.1¢/ea.,26.49,,"Buy 1, get 1 50% off",https://www.cvs.com/bizcontent/merchandising/productimages/high_res/32420869760.jpg
https://www.cvs.com/shop/cvs-health-kid-s-melatonin-gummies-60-ct-prodid-653197,Home > Shop > Baby & Kids > Baby & Kids Health > Baby & Kids Vitamins,,,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/5042863788.jpg
https://www.cvs.com/shop/schiff-move-free-advanced-pro-tamaflex-vit-d-90-ct-prodid-648476,Home > Shop > Vitamins > Supplements > Glucosamine,26.7¢/ea.,23.99,$29.99,20% off,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/2052599629.jpg
https://www.cvs.com/shop/nature-s-way-joint-movement-glucosamine-berry-16-fl-oz-prodid-653398,Home > Shop > Vitamins > Supplements > Glucosamine,$1.19/oz.,18.99,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/37140139416.jpg
https://www.cvs.com/shop/florajen-triple-action-womens-30-ct-prodid-499075,Home > Shop > Vitamins > Supplements > Prebiotics & Probiotics,96.6¢/ea.,28.99,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/73942377748.jpg
https://www.cvs.com/shop/goli-zero-sugar-apple-cider-vinegar-gummies-60-ct-prodid-654224,Home > Shop > Vitamins > Supplements > Apple Cider Vinegar,,,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/5584040655.jpg
https://www.cvs.com/shop/uqora-promote-vaginal-probiotic-for-urinary-tract-health-prodid-562941,Home > Shop > Vitamins > Supplements > Prebiotics & Probiotics,,,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/86000363456.jpg
https://www.cvs.com/shop/irwin-naturals-l-citrulline-l-arginine-booster-for-men-60-ct-prodid-495885,Home > Shop > Vitamins > Supplements,25.5¢/ea.,13.79,,,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/71036359193.jpg
