pdp_url,product_name,price_was,percentage_discount,selling_price,images,review,rating,breadcrumb,brand,size,care_instructions,properties,features
https://www.lidl.nl/p/crivit-elektrische-koelbox/p100388649,Elektrische koelbox ,,,49.95,"['https://www.lidl.nl/assets/gcpd945052858a644218456816d9f18b7a2.jpg', 'https://www.lidl.nl/assets/gcp5901644101b144509d44165a4293a008.jpg', 'https://www.lidl.nl/assets/gcpd5b30f8eb830405dac8d9498014687ea.jpg', 'https://www.lidl.nl/assets/gcp4311087167d74c2094bbccf93a74d983.jpg', 'https://www.lidl.nl/assets/gcp15e6ee747b82434c95ef34e3fb7d7f5a.jpg']",656,4.7,Home > Sport en vrije tijd > Kamperen & buitenleven,CRIVIT,,,"Uitstekend geschikt voor gebruik tijdens het kamperen of in een voertuig, Energie-efficiëntieklasse E volgens de huidige verordening (EU) 2019/2016, Uitstekende prestaties – koelt ca. 20 °C onder de omgevingstemperatuur, Aansluitmogelijkheden via 230 V-stopcontact en 12 V-sigaretaansteker voor maximale flexibiliteit, Inklapbare draaggreep als vergrendeling of dekselsteun, Extra warmhoudfunctie op ca. 65 °C, Extra dikke isolatiewanden voor zeer goede isolatie (ca. 20 uur volgens DIN EN 12546-2), Snelle en gelijkmatige koeling of warmhouding door interne ventilator, 29 liter inhoud, plek voor 6x 1,5-/2-liter flessen staand of 36x 0,33-liter blikjes, Robuuste behuizing en buitenkant van gerecycled kunststof, Geruisarme werking (34 dB in de ECO-modus), Beide aansluitkabels ruimtebesparend opbergbaar in het deksel, Onderhoudsvrij koelaggregaat – bij netvoeding handmatig regelbaar, Gereduceerde condensvorming door afdichtingsrubber","{'Koelsysteem': '-', 'Bruikbare inhoud': 'Totaal: 29 L', 'Afmetingen': 'ca. B 41,4 x H 48,2 x D 32,7 cm', 'Gewicht': 'ca. 4,8 kg'}"
https://www.lidl.nl/p/silvercrest-kitchen-tools-magnetron-17-l/p100383687,Magnetron 17 L ,,,54.99,"['https://www.lidl.nl/assets/gcp8238cf4345b440e18dd2b85f61b5f052.jpg', 'https://www.lidl.nl/assets/gcp24078e17e0564b569a50c7fbabdaad50.jpg', 'https://www.lidl.nl/assets/gcp60ad2223400d4e9ca1f9ec96dab00186.jpg', 'https://www.lidl.nl/assets/gcpe813510924b64d3fa57e65516c9ba8fb.jpg']",778,4.7,Home > Keuken & huishouden > Keukenapparaten,SILVERCREST® KITCHEN TOOLS,,,,"{'Magnetroninhoud': '17 l', 'Magnetronvermogen': '1100 W', 'Programma': '6 vermogensstanden', 'Type': 'vrijstaand', 'Kleur': 'Zilver', 'Bediening': 'Draaiknop', 'Grillfunctie': '-', 'Klok': '-', 'Draaiplateau': 'Glazen draaiplateau', 'Timer': '-', 'Kinderslot': '-', 'Afmetingen': 'B 44,6 x H 24,1 x D 35,9 cm', 'Gewicht': '-', 'Leveringsomvang': 'Magnetron, glazen draaiplateau'}"
https://www.lidl.nl/p/silvercrest-wafelijzer/p100391134,Wafelijzer ,19.99,33%,13.39,"['https://www.lidl.nl/assets/gcp2abb8fdd96a44549b1722de33537f4b4.png', 'https://www.lidl.nl/assets/gcp8f374313f3e94e769a52993409e96e2d.png', 'https://www.lidl.nl/assets/gcp1ef825d290f8485b86a91c936448d443.png', 'https://www.lidl.nl/assets/gcp223e1e32d4e84580af2e79904b191134.png', 'https://www.lidl.nl/assets/gcp16886aeba2514dc8bb23873a4f68c93b.png', 'https://www.lidl.nl/assets/gcp061639044eca44e1875f3b2dc8394dde.png', 'https://www.lidl.nl/assets/gcp6f36ea0a86ab40918d282efa9de96bd9.png', 'https://www.lidl.nl/assets/gcp0620567b1af040aeae65ac347d5cda38.png']",271,4.7,Home > Keuken & huishouden > Keukenapparaten,SILVERCREST®,,,"Geschikt voor zowel zoete als hartige bereidingen, ILAG® antiaanbaklaag voor moeiteloos bakken en reinigen, Traploze temperatuurregeling en controlelampje, Warmtebestendige handgreep voor veilig gebruik, Praktisch snoeropbergsysteem aan de onderkant, Inclusief 15 recepten voor extra inspiratie",
https://www.lidl.nl/p/silvercrest-staafmixerset-600-w/p100391797,Staafmixerset 600 W ,19.99,32%,13.49,"['https://www.lidl.nl/assets/gcpa213b59f062c4537b1a3e137af76ab1f.png', 'https://www.lidl.nl/assets/gcp8afe4cc477074893b57210c5dbd7baff.jpg', 'https://www.lidl.nl/assets/gcp7239525e86684c7497e83bb8e90355d7.jpg', 'https://www.lidl.nl/assets/gcp7c90a730b9db477e9a1196c097dd7377.jpg', 'https://www.lidl.nl/assets/gcpc204abd102b14a45b5274517fcbacf94.jpg', 'https://www.lidl.nl/assets/gcpbfa963a346e9481f90be31a2c83bdb37.jpg', 'https://www.lidl.nl/assets/gcpbe1ae4f1ce264d66962cc7b58fad2325.jpg', 'https://www.lidl.nl/assets/gcpf98fd017f57843b0ac1fdca4a1fda8bf.jpg', 'https://www.lidl.nl/assets/gcpea5b1627c7874c67986347112506d246.jpg', 'https://www.lidl.nl/assets/gcpd889ca0ee8bb40aebf3ed6286b7278a9.jpg', 'https://www.lidl.nl/assets/gcp0fef8e0ac38e4c6a9672584c4c8e3ebe.jpg', 'https://www.lidl.nl/assets/gcp589a5514360f4b849b47711cd3f21dfa.jpg', 'https://www.lidl.nl/assets/gcpb7ac22a518584ff4b9b3c8de7df6bf96.jpg', 'https://www.lidl.nl/assets/gcp07a691ae44bd47c4a4c68e29fc0ebfbe.jpg']",8,4.9,Home > Keuken & huishouden > Keukenapparaten,SILVERCREST®,,,,
https://www.lidl.nl/p/livarno-home-aluminium-braadpan-o-28-cm/p100379943,Aluminium braadpan Ø 28 cm ,24.99,35%,16.09,"['https://www.lidl.nl/assets/gcp69ad3a652bca4be0b34c0bb5bb66121d.jpeg', 'https://www.lidl.nl/assets/gcpe4bb7c6caef14791b5d27f63435a4e1b.jpeg', 'https://www.lidl.nl/assets/gcp9df1e83aa1e0416c984233075d0254ed.jpeg', 'https://www.lidl.nl/assets/gcp93a475b40e9d40f8819764bcba5e5676.jpeg']",265,4.7,Home > Keuken & huishouden > Koken & bakken,LIVARNO home,,,"Voor gezondheidsbewust, vetarm braden, Maximizing Green coatings zijn vrij van GenX en worden zonder verontreinigende stoffen vervaardigd., Grondstofbesparend geproduceerd, met verbeterde, vervuilingsvrije arbeidsomstandigheden tijdens de productie., ILAG® Ultimate HL: Nieuwe generatie coating met innovatief meerlagensysteem - keramisch versterkte primer en een unieke polymeermatrix in de toplaag voor verbeterde, uitstekende en langdurige anti-aanbak eigenschappen., Zeer slijtvast en duurzaam, Kras- en zeer slijtvast, Van hoogwaardig gegoten aluminium, Glazen deksel met roestvrijstalen rand en stoomuitlaat, Handgreep met soft-touch-coating en gegoten tegengreep voor eenvoudig hanteren, Geschikt voor alle soorten fornuizen - inductie inbegrepen, Ovenbestendig tot 160 °C, Geschikt voor de vaatwasser, Materiaal: Aluminium behuizing, aluminium bodem met verzonken roestvrijstalen inductieplaat, Afmetingen: Ø ca. 28 cm, Bodemdikte: ca. 5,5 mm, Volume: ca. 3,2 l, Pandiepte ca. 6,9 cm, Incl. gebruiks- en onderhoudsinstructies, Decoratie niet inbegrepen","{'Afmetingen': 'ca. Ø 28 cm', 'Coating': 'ILAG® ultimate high-level-coating (Maximizing Green)', 'Geschikt voor': 'Alle soorten fornuizen - incl. inductie', 'Bodemdikte': 'ca. 5,5 mm', 'Materiaal': 'Gegoten aluminium, roestvrij staal', 'Greepmateriaal': 'Kunststof', 'Vaatwasmachinebestendig': 'Ja', 'Gewicht': 'Pan: ca. 1400 g, deksel: ca. 750 g, handgreep: ca. 150 g'}"
https://www.lidl.nl/p/silvercrest-2-in-1-stoomreiniger-1500-w/p100383078,2-in-1 stoomreiniger 1500 W ,,,49.99,"['https://www.lidl.nl/assets/gcp6199d3915e4346cb8352d8bc31d98af6.jpeg', 'https://www.lidl.nl/assets/gcp3f326fd92c0c45388eb88892a5b66981.jpeg', 'https://www.lidl.nl/assets/gcp2dde6387fb374e6ba4bf6c9c367e9c36.jpeg', 'https://www.lidl.nl/assets/gcp9a4283eccbb84f04954eb8c16eb022de.jpeg', 'https://www.lidl.nl/assets/gcp8a78e05f7bb8484ca081f0194ddb7b6e.jpeg', 'https://www.lidl.nl/assets/gcp414f785c43354717aa593e6ef5d0baec.jpeg', 'https://www.lidl.nl/assets/gcpccbf3e2e319244e287c9c365a9711e1c.jpeg', 'https://www.lidl.nl/assets/gcp5d5e7d70f6104d65aae4e8c60e439a68.jpeg', 'https://www.lidl.nl/assets/gcp9d7e5f200a454809877b1d25f99b1e3f.jpeg', 'https://www.lidl.nl/assets/gcp26c3ee7fd002497fa6bc9183038365c0.jpeg', 'https://www.lidl.nl/assets/gcp07259be711334cbb8bb25d476ce8e9c3.jpeg', 'https://www.lidl.nl/assets/gcpf8ef269e539d4b6aada9588ca8bfe09b.jpeg', 'https://www.lidl.nl/assets/gcp1deba825c5ae4988b2908f2de915ed82.jpeg']",266,4.5,Home > Keuken & huishouden > Huishouden & schoonmaken,SILVERCREST®,,,"Stoomklaar in slechts 30 seconden, Afneembare stoomeenheid - voor flexibel gebruik als handapparaat, Stoomsterkte traploos instelbaar, Ruimtebesparend op te bergen door intrekbare greep, Stoomvoet afneembaar indien nodig, Uitgebreide accessoires: ,  , Vermogen: 1500 W, Inhoud waterreservoir: ca. 350 ml, Werkduur per tankvulling: ca. 11 minuten, Kabellengte: ca. 6 m, Beschermingsklasse: IPX4, Gewicht: 3,15 kg","{'Vermogen': '1500 W', 'Inhoud': 'ca. 350 ml', 'Stoomdruk': '-', 'Opwarmtijd': 'ca. 30 seconden', 'Kinderbeveiliging': '-', 'Toepassingsgebied': 'Flexibele toepassing ook als handapparaat', 'Afmetingen': 'ca. 32,4 x 18 x 112,2 cm', 'Leveringsomvang': '-'}"
https://www.lidl.nl/p/grillmeister-houtskool-bbq-kansas/p100387699,Houtskool BBQ Kansas ,,,105.0,"['https://www.lidl.nl/assets/gcp7dbed858c229447fb5088065c77f2611.jpg', 'https://www.lidl.nl/assets/gcp1fdab88c17d1451d8f6e5d580fc5304a.jpg', 'https://www.lidl.nl/assets/gcpdffc4a12b2574cf289bea8f1de598ee9.jpg', 'https://www.lidl.nl/assets/gcpf63e4a26f4bb4960b7af34a3d9f25c56.jpg', 'https://www.lidl.nl/assets/gcp7460ab1a0f9240d1b078480ce63ea48a.jpg', 'https://www.lidl.nl/assets/gcp4c18da11d723425cbfa7b439f808b5e3.jpg', 'https://www.lidl.nl/assets/gcp689dcfe612da440b96ca1eff6397d6f9.jpg', 'https://www.lidl.nl/assets/gcpe64dd952e0134b54b94d8d9496ed8733.jpg', 'https://www.lidl.nl/assets/gcpc68e5c6458974c27990d06fb9290d60b.jpg', 'https://www.lidl.nl/assets/gcpd6cafb1bb83c44fa874ee4eeaadbf070.jpg']",45,3.9,Home > Wonen & inrichting > Tuin & balkon > Barbecues,GRILLMEISTER,,,"Optimale temperatuurregeling door 4 ventilatie regelknoppen, in hoogte verstelbare houtskoolbak en klepdeksel, Ideaal voor indirect grillen door 2 grillroosters en warmhoudrooster, Verzinkte houtskoolbak met kruk voor traploze hoogteverstelling, Eenvoudig in gebruik door aparte houtskoolklep, Poedergecoate deksel met geïntegreerde thermometer , Grillrooster en warmhoudrooster van verchroomd staal, Handgrepen van RVS, Uitneembare asopvangbak, Opklapbare zijtafel met 4 bestekhaken, Geïntegreerde flesopener, Kunststof wielen en grote wagenhendel","{'Grilltype': 'Houtskool', 'Grill oppervlakte': '52,5 x 40,5 cm', 'Bereidingsmethode': 'Direct, Indirect, Warmhouden', 'Houtskool capaciteit': 'max. 1,35 kg', 'Thermometer': 'ja', 'Warmhoudrooster': 'ja', 'Kijkvenster': 'nee', 'Werkhoogte': '80 cm', 'Wielen': 'ja', 'Materiaal': 'Vuurbak, deksel, zijtafel, onderstel: staal poedercoating', 'Afmetingen': 'Grill: 106,5 x 103 x 71 cm', 'Gewicht': '23 kg'}"
https://www.lidl.nl/p/silvercrest-kitchen-tools-ijsblokjesmachine/p100389395,IJsblokjesmachine ,,,64.99,"['https://www.lidl.nl/assets/gcp70ed12ca9bad4310afd8c1fff1233513.jpg', 'https://www.lidl.nl/assets/gcp7560acc8e881426292e5e53bc7f4d19a.jpg', 'https://www.lidl.nl/assets/gcpc1822b5db0194e0cbdc4cb193991fe09.jpg', 'https://www.lidl.nl/assets/gcp080359ef108d4edf8aa359e79a1dacbd.gif']",440,4.7,Home > Keuken & huishouden > Keukenapparaten,SILVERCREST® KITCHEN TOOLS,,,"Maakt ijsblokjes in enkele minuten – zonder voor te koelen, 2 ijsblokjesgroottes selecteerbaar, Geïntegreerde 2,1-liter watertank – geen wateraansluiting nodig, Verwijderbare bak voor 800 g ijsblokjes, Eenvoudige bediening via soft-touch bedieningspaneel, 9 grote ijsblokjes in ca. 9 min. / 9 kleinere ijsblokjes in ca. 7 min. / 11–12 kg ijs in 24 uur., Incl. ijsschep, Afmetingen: ca. 25,3 x 31,5 x 37,2 cm (B x H x D), Vermogen: 105 W, Kabellengte: 180 cm","{'Inhoud waterreservoir': 'ca. 2,1 l', 'Vermogen': '105 W', 'IJsblokjesgrootte': '2', 'Aantal ijsblokjes': '9', 'Bedrijfsmodus': 'Netvoeding', 'Afmetingen': 'ca. B 25,3 x H 31,5 x D 37,2 cm', 'Gewicht': 'ca. 8,7 kg', 'Leveringsomvang': '1x IJsblokjesmachine'}"
https://www.lidl.nl/p/silvercrest-kitchen-tools-dubbele-inductiekookplaat/p100385932,Dubbele inductiekookplaat ,,,79.99,"['https://www.lidl.nl/assets/gcp16f86c896f5342569cc9bebed311b3fc.jpg', 'https://www.lidl.nl/assets/gcpd0b75e0581b34667a1f5691468bd080e.jpg', 'https://www.lidl.nl/assets/gcpcbbedfa07b2942c2b53f538a9da57aa2.jpg', 'https://www.lidl.nl/assets/gcp6e5eff3b2ed74b4b90c9cdee5ba9c5a4.jpg', 'https://www.lidl.nl/assets/gcpafa9d6fa44384314bd8939c96592bb09.jpg']",174,4.6,Home > Keuken & huishouden > Keukenapparaten,SILVERCREST® KITCHEN TOOLS,,,,"{'Vermogen': 'ca. 3500 W', 'Afmetingen': 'ca. B 56 x H 6,2 x D 31 cm', 'Kookzone': '2', 'Kookplaattype': 'Inductie', 'Breedte': 'ca. 31 cm', 'Constructie': '-', 'Bedieningselementen': 'Touch-sensorbedieningspaneel met 8 knoppen en LED-display', 'Functies': 'Timer', 'Smarthome': '-', 'Uitrusting': '-'}"
https://www.lidl.nl/p/silvercrest-kitchen-tools-inductiekookplaat/p100387427,Inductiekookplaat ,,,44.99,"['https://www.lidl.nl/assets/gcp046d75fe8fa8436b91da225ed5c3ed8f.jpg', 'https://www.lidl.nl/assets/gcp77fd2288392c4d218b0c004aa71a5cdf.jpg', 'https://www.lidl.nl/assets/gcp3ff1135a75e64592899faa74298cfa25.jpg', 'https://www.lidl.nl/assets/gcpde8496d9aff74a6eb1348c3427e57fc3.jpg', 'https://www.lidl.nl/assets/gcp71c740dad7024590a1e7b549cf28bfaf.jpg', 'https://www.lidl.nl/assets/gcpc4b563f39ad441189ecf6f7f39d15970.jpg']",283,4.7,Home > Keuken & huishouden > Keukenapparaten,SILVERCREST® KITCHEN TOOLS,,,"Voor snel en energiezuinig koken, Met gemakkelijk te reinigen speciale glazen oppervlak, 10 instelbare vermogens- en temperatuurstanden (200–2000 W, 60–240 °C), 8 automatische programma's: Warmhouden, Stoven, Melk, „Boost“, Water, Frituren, Soep, Stoofpot, Automatische uitschakeling (na 120 minuten), Kinderslot, Temperatuurbereik: 60–240 °C, Kabellengte: ca. 2 m","{'Vermogen': '2200 W', 'Afmetingen': 'B 27 x H 6,3 x D 31 cm', 'Kookzone': 'Ø 10–22 cm', 'Kookplaattype': '-', 'Breedte': '-', 'Constructie': 'Met gemakkelijk te reinigen speciale glazen oppervlak', 'Bedieningselementen': '-', 'Functies': 'Warmhouden, Stoven, Melk, „Boost“, Water, Frituren, Soep, Stoofpot', 'Smarthome': '-', 'Uitrusting': '-'}"
