pdp_url,product_name,brand,breadcrumb,retail_limit,currency,selling_price,price_was,images,rating,review,product_description,product_details
https://www.homedepot.com/p/Husky-42-Gal-Contractor-Bags-50-Count-HK42WC050B/202973825,Husky 42 Gal. Contractor Bags (50-Count) HK42WC050B,Husky,Home > Cleaning > Trash & Recycling > Trash Bags > Contractor Bags > Husky Contractor Bags,,USD,29.97,,"['https://images.thdstatic.com/productImages/d9f86180-029d-4c83-9dcf-e8f60dfb56a4/svn/husky-contractor-bags-hk42wc050b-64_100.jpg', 'https://images.thdstatic.com/productImages/22d5e29f-602b-4519-b6bf-8ef12530c23a/svn/husky-contractor-bags-hk42wc050b-77_100.jpg', 'https://images.thdstatic.com/productImages/49e50a82-d95a-40b1-b6af-168156f8c1ba/svn/husky-contractor-bags-hk42wc050b-c3_100.jpg', 'https://images.thdstatic.com/productImages/106365a6-9399-4be8-b459-17f0cc827c40/svn/husky-contractor-bags-hk42wc050b-4f_100.jpg', 'https://images.thdstatic.com/productImages/f9e49943-fd9f-4118-857e-d828ed0d79a7/svn/husky-contractor-bags-hk42wc050b-1f_100.jpg', 'https://images.thdstatic.com/productImages/04198a65-0e4d-42b5-96b6-37e62f03499a/svn/husky-contractor-bags-hk42wc050b-31_100.jpg']",4.9,19558,"The HUSKY 42 Gal. Clean-up Bags (50-count) are ideal for all your tough clean-up jobs. Featuring a tear and puncture-resistant design, it includes true tie flaps and 1-by-1 dispensing for an easy use. Its 42 Gal. capacity is strong enough for contractor, commercial or home use.","{'Capacity': '42 GA-Gallon', 'Closure': 'Tie', 'Color Family': 'Black', 'Features': 'Disposable', 'Pack Size': '1', 'Package Count': '50', 'Returnable': '90-Day', 'Trash and Recycling Product Type': 'Trash Bag/Liner', 'Usage Type': 'Draw & Tie Trash Bags', 'Bag thickness (mil)': '3'}"
https://www.homedepot.com/p/HDX-FlexPro-13-Gallon-Fresh-Scent-Tall-Kitchen-Trash-Bag-140-Count-HD13XHF140W/206755671,HDX FlexPro 13 Gallon Fresh Scent Tall Kitchen Trash Bag (140-Count) HD13XHF140W,HDX,Home > Cleaning > Trash & Recycling > Trash Bags > Garbage Bags > HDX Garbage Bags,,USD,19.97,,"['https://images.thdstatic.com/productImages/18b5200b-33dc-4d72-8d8c-f835fc5072c9/svn/hdx-garbage-bags-hd13xhf140w-64_100.jpg', 'https://images.thdstatic.com/productImages/bd5e2d02-1af8-4e04-b1f6-c94e3ea53d39/svn/hdx-garbage-bags-hd13xhf140w-e1_100.jpg', 'https://images.thdstatic.com/productImages/740c30dd-efc1-4ab3-9f16-8904175ae9ce/svn/hdx-garbage-bags-hd13xhf140w-40_100.jpg', 'https://images.thdstatic.com/productImages/314da3e9-ff33-4198-8953-80ec0b9a2f37/svn/hdx-garbage-bags-hd13xhf140w-a0_100.jpg', 'https://images.thdstatic.com/productImages/fcb286ae-a024-4001-8564-78b438ede42e/svn/hdx-garbage-bags-hd13xhf140w-1d_100.jpg', 'https://images.thdstatic.com/productImages/dd380ffb-be4b-4722-b7b5-40b7e2b75da0/svn/hdx-garbage-bags-hd13xhf140w-66_100.jpg', 'https://images.thdstatic.com/productImages/56e9a60e-c893-47c1-be6d-32b98fbe30ef/svn/hdx-garbage-bags-hd13xhf140w-77_100.jpg', 'https://images.thdstatic.com/productImages/46689bc0-8b8f-406c-a6ea-1c6d5732d149/svn/hdx-garbage-bags-hd13xhf140w-c3_100.jpg', 'https://images.thdstatic.com/productImages/506d4b7a-7231-4530-a12e-23530b1b1a7b/svn/hdx-garbage-bags-hd13xhf140w-4f_100.jpg', 'https://images.thdstatic.com/productImages/7e213de2-062f-44d7-89ff-56f203d4f671/svn/hdx-garbage-bags-hd13xhf140w-1f_100.jpg']",4.7,2549,"HDX Flexpro Drawstring Kitchen Bags have a double-thick top to add strength where it is needed most. The expandable drawstring feature allows the top of the bag to comfortably grip the trash can, reducing the risk of slipping inside the can. Flex technology improves the bag's containment capacity.","{'Capacity': '13 GA-Gallon', 'Closure': 'Drawstring', 'Color': 'White', 'Color Family': 'White', 'Features': 'Deodorizing,Disposable', 'Gauge': '1.64', 'Material': 'Polyethylene', 'Pack Size': '1', 'Package Count': '140', 'Packaging': 'Box', 'Returnable': '90-Day', 'Scent': 'Fresh', 'Trash and Recycling Product Type': 'Trash Bag/Liner', 'Usage Type': 'Draw & Tie Trash Bags', 'Bag thickness (mil)': '1.64', 'Product Length (in.)': '25.08', 'Product Width (in.)': '24'}"
https://www.homedepot.com/p/Swiffer-Sweep-Plus-Mop-Deluxe-2-in-1-Multi-Surface-Floor-Cleaning-Starter-Kit-1-Sweeper-5-Sweep-Cloths-3-Mop-Cloths-003077215848/334196639,"Swiffer Sweep Plus Mop Deluxe 2 in 1 Multi-Surface Floor Cleaning Starter Kit (1-Sweeper, 5-Sweep Cloths, 3-Mop Cloths) 003077215848",Swiffer,Home > Cleaning > Cleaning Tools > Mops > Mop Accessories > Mop Refill Pads > Swiffer Mop Refill Pads,,USD,19.94,,"['https://images.thdstatic.com/productImages/a670620e-9349-4bdd-b0ab-f88185d2c932/svn/swiffer-mop-refill-pads-003077215848-64_100.jpg', 'https://images.thdstatic.com/productImages/4ce555a0-09cd-446f-b70a-f411980fe02a/svn/swiffer-mop-refill-pads-003077215848-40_100.jpg', 'https://images.thdstatic.com/productImages/6e539deb-85a2-4876-ac56-1611e086567c/svn/swiffer-mop-refill-pads-003077215848-a0_100.jpg', 'https://images.thdstatic.com/productImages/f539a63e-d5cb-435c-8602-796104b38723/svn/swiffer-mop-refill-pads-003077215848-1d_100.jpg', 'https://images.thdstatic.com/productImages/57c8bae0-0ba3-4de0-8dc8-ffb8adb7b706/svn/swiffer-mop-refill-pads-003077215848-66_100.jpg', 'https://images.thdstatic.com/productImages/372b734c-e5b6-4962-82e9-6cae6da1ef2f/svn/swiffer-mop-refill-pads-003077215848-77_100.jpg', 'https://images.thdstatic.com/productImages/c5da0415-7b46-4d2c-84af-c62c4e7b5f93/svn/swiffer-mop-refill-pads-003077215848-c3_100.jpg', 'https://images.thdstatic.com/productImages/b880d0a8-c9a9-4a43-8879-598cdb36d3a1/svn/swiffer-mop-refill-pads-003077215848-4f_100.jpg', 'https://images.thdstatic.com/productImages/93d62e8d-07dd-4b9a-987f-af455399d488/svn/swiffer-mop-refill-pads-003077215848-1f_100.jpg']",4.8,243,"Swiffer Sweep and Mop Deluxe is a 2-in-1 cleaning tool designed for efficient floor cleaning and great for small spaces. This device features a collapsible pole that shrinks to 25 in. for easy storage. The device is more durable  which makes tackling tough messes easy. The locking head enables allows you to clean your baseboards and tight spaces. Start by using a Heavy Duty Sweeping Cloth to capture hair, dirt and dust, then follow with Heavy Duty Mopping Pads to dissolve and trap grime, and trap it away. The combination of sweeping and mopping in one tool simplifies your cleaning routine. Refill cloths are available. vs Swiffer Sweep and Mop.","{'Cleaning Tool Type': 'Wet/Dry Mop', 'Color': 'Silver', 'Color Family': 'Silver', 'Connection Type': 'Gripper Bites', 'Features': 'Scrubbing Side', 'Included Accessories': 'No additional accessories included', 'Mop Head Frame Material': 'Plastic', 'Mop Head Material': 'Microfiber', 'Mop Head Type': 'Flat Mop', 'Pack Size': '1', 'Package Quantity': '1', 'Returnable': '90-Day', 'Scent': 'Unscented', 'Manufacturer Warranty': 'n/a', 'Product Width (in.)': '2.008 in'}"
https://www.homedepot.com/p/HDX-HDX-POP-N-GO-Dual-Layer-Disposable-6-mil-Nitrile-Gloves-Size-Medium-40-Count-104941900/332897182,"HDX HDX POP-N-GO Dual Layer Disposable 6 mil Nitrile Gloves, Size Medium (40-Count) 104941900",HDX,Home > Safety Equipment > Disposable Protective Clothing > Disposable Gloves > HDX Disposable Gloves,,USD,12.98,,"['https://images.thdstatic.com/productImages/b8997b38-6074-48d2-af7f-b19175647e79/svn/hdx-disposable-gloves-104941900-64_100.jpg', 'https://images.thdstatic.com/productImages/93b4fc46-c7fd-4041-a708-d2a3fdbcddab/svn/hdx-disposable-gloves-104941900-e1_100.jpg', 'https://images.thdstatic.com/productImages/3387ecee-a2ad-448a-9693-2c7d7d95392e/svn/hdx-disposable-gloves-104941900-40_100.jpg', 'https://images.thdstatic.com/productImages/e382c37a-fcc7-4420-b45e-ed4b585a656b/svn/hdx-disposable-gloves-104941900-a0_100.jpg', 'https://images.thdstatic.com/productImages/415f6652-7f61-408f-bb2c-44125ae59b48/svn/hdx-disposable-gloves-104941900-c3_100.jpg', 'https://images.thdstatic.com/productImages/3df81810-37e6-4ff5-94a1-4624ab3472a1/svn/hdx-disposable-gloves-104941900-4f_100.jpg', 'https://images.thdstatic.com/productImages/0eeb43ae-493d-4331-8631-29f457bc350c/svn/hdx-disposable-gloves-104941900-1f_100.jpg', 'https://images.thdstatic.com/productImages/266346a0-b152-49a0-95da-31a6c09cc797/svn/hdx-disposable-gloves-104941900-44_100.jpg', 'https://images.thdstatic.com/productImages/ccc9ec60-809b-4645-9ebd-c01af3e2be1d/svn/hdx-disposable-gloves-104941900-31_100.jpg']",5,1,"The HDX Heavy Duty POP-N-GO nitrile gloves are one of a kind. This dual layer glove has an orange interior that easily exposes tears in the glove. Gloves dispense 1-at-a-time, cuff first, in a convenient clean package that can be resealed and stored on the jobsite or, in a vehicle glovebox. These gloves are both powder free and latex free.","{'Clothing Product Type': 'Gloves', 'Color': 'Black outside/Orange inside', 'Glove Features': 'Chemical Resistant,Disposable,Reversible,Touch Screen', 'Glove Material': 'Nitrile', 'Glove Size': 'Medium', 'Hardware Color Family': 'Black', 'Industry Usage': 'Mechanic,Other,Painting', 'Pack Size': '40', 'Powdered / Powder Free': 'Powder Free', 'Returnable': '90-Day', 'Product thickness (mil)': '6'}"
https://www.homedepot.com/p/Scrub-Daddy-Scrub-Mommy-Essentials-Scrubber-Sponge-Windowed-Box-10ct-810044137927/335955938,Scrub Daddy Scrub Mommy Essentials Scrubber Sponge Windowed Box 10ct 810044137927,Scrub Daddy,Home > Cleaning > Cleaning Tools > Sponges & Scouring Pads > Scrub Daddy Sponges & Scouring Pads,,USD,14.98,,"['https://images.thdstatic.com/productImages/7948a8d5-133a-4e5b-a729-e9bb06320f56/svn/scrub-daddy-sponges-scouring-pads-810044137927-64_100.jpg', 'https://images.thdstatic.com/productImages/18015499-2697-4f83-9b3a-46f2bafdab4d/svn/scrub-daddy-sponges-scouring-pads-810044137927-c3_100.jpg', 'https://images.thdstatic.com/productImages/e3070c1d-6378-4b81-926a-d3e9b58e0829/svn/scrub-daddy-sponges-scouring-pads-810044137927-4f_100.jpg', 'https://images.thdstatic.com/productImages/e942b9ce-c5b9-49fe-a74d-6bcd37490a96/svn/scrub-daddy-sponges-scouring-pads-810044137927-1f_100.jpg', 'https://images.thdstatic.com/productImages/f12501f2-ef88-4eab-b071-aa24d9888475/svn/scrub-daddy-sponges-scouring-pads-810044137927-44_100.jpg', 'https://images.thdstatic.com/productImages/f0f9ce2c-1d22-43fe-bf0e-5b1aa2ce4ea1/svn/scrub-daddy-sponges-scouring-pads-810044137927-fa_100.jpg', 'https://images.thdstatic.com/productImages/bef0dd75-500c-4e10-a362-49b8ce7d185d/svn/scrub-daddy-sponges-scouring-pads-810044137927-76_100.jpg']",5,1,"Forget about sloppy wiping rags - you can scrub, flip, wipe with dual-sided Scrub Mommy. Scrub Mommy Essentials gives you the best of both worlds: nonstop suds plus flexible scrubbing power. Helpful at home or on the go. Multi-Tasking Mommy, my ResoFoam is super absorbent and generates ample suds, my FlexTexture is soft in warm water and firm in cool for more scrubbing power.","{'Cleaning Tool Type': 'Sponge', 'Color': 'Pink', 'Color Family': 'Pink', 'Features': 'Non Abrasive', 'Pack Size': '1', 'Returnable': '90-Day', 'Shape': 'Round', 'Sponge/Scouring Pad Material': 'Cellulose/synthetic fiber combo', 'Manufacturer Warranty': 'N/A', 'Product Depth (in.)': '5.5 in', 'Product Height (in.)': '9.38 in', 'Product Length (in.)': '4.38 in', 'Product Thickness (in.)': '1 in', 'Product Width (in.)': '4 in'}"
https://www.homedepot.com/p/Toter-96-Gallon-Black-Rolling-Outdoor-Garbage-Trash-Can-with-Wheels-and-Attached-Lid-79296-R2200/322476083,Toter 96 Gallon Black Rolling Outdoor Garbage/Trash Can with Wheels and Attached Lid 79296-R2200,Toter,Home > Cleaning > Trash & Recycling > Trash Cans > Outdoor Trash Cans > Toter Outdoor Trash Cans,,USD,137.36,,"['https://images.thdstatic.com/productImages/97eda043-77ff-4666-ad05-2d97c6c727f4/svn/toter-outdoor-trash-cans-79296-r2200-64_100.jpg', 'https://images.thdstatic.com/productImages/199a365a-010a-43d9-bd09-9eeecd38b0c5/svn/toter-outdoor-trash-cans-79296-r2200-c3_100.jpg', 'https://images.thdstatic.com/productImages/78d42653-be2d-4883-8728-a239dd420dba/svn/toter-outdoor-trash-cans-79296-r2200-4f_100.jpg', 'https://images.thdstatic.com/productImages/436c1d5d-ca5d-42cc-ac59-2f0d8af6f76e/svn/toter-outdoor-trash-cans-79296-r2200-1f_100.jpg', 'https://images.thdstatic.com/productImages/aa5afc4b-33b2-406d-8d5f-5bef19a12cdf/svn/toter-outdoor-trash-cans-79296-r2200-44_100.jpg', 'https://images.thdstatic.com/productImages/70f2330c-a8a2-4770-ba9e-76112ac355cd/svn/toter-outdoor-trash-cans-79296-r2200-fa_100.jpg', 'https://images.thdstatic.com/productImages/a3ca0566-8961-4ed6-aa9a-6104b24c8ff5/svn/toter-outdoor-trash-cans-79296-r2200-76_100.jpg', 'https://images.thdstatic.com/productImages/b7b03dcc-d370-44d5-864d-4ce2b3d6a7e5/svn/toter-outdoor-trash-cans-79296-r2200-d4_100.jpg', 'https://images.thdstatic.com/productImages/a0bdc522-722a-478b-9928-348434b95520/svn/toter-outdoor-trash-cans-79296-r2200-31_100.jpg']",4.7,8292,"The Toter bin is built to last and designed with ergonomics in mind. With an ideal handle height and rugged wheels, the Toter bin makes maneuvering a breeze. Toter bins are designed to keep working long after others fail by using Toter's Advanced Rotational Molding process. The rugged rim technology and reinforced material in critical wear areas, adds rigidity and extends the service life of the Toter bin. Perfect for indoor or outdoor use, this can is made of up to 50% recycled materials and is 100% recyclable.","{'Bucket/Tub Material': 'Polyethylene', 'Capacity': '96 GA-Gallon', 'Color': 'Black', 'Color Family': 'Matte Black', 'Indoor/Outdoor': 'Indoor,Outdoor', 'Lid/Top Mechanism': 'Hinged', 'Location': 'Commercial,Curbside', 'Material': 'Polyethylene', 'Pack Size': '1', 'Returnable': '90-Day', 'Shape': 'Rectangle', 'Trash and Recycling Features': 'Finger Print Resistant,Heavy Duty,Reusable,Unscented,With Wheels', 'Trash and Recycling Product Type': 'Trash Can', 'Certifications and Listings': 'ANSI Certified', 'Product Depth (in.)': '35.5 in', 'Product Height (in.)': '43.5 in', 'Product Width (in.)': '29.75 in'}"
https://www.homedepot.com/p/HDX-16-in-x-16-in-Multi-Purpose-Microfiber-Towel-24-Pack-2142099/314502418,HDX 16 in. x 16 in. Multi-Purpose Microfiber Towel (24-Pack) 2142099,HDX,Home > Cleaning > Cleaning Tools > Cleaning Cloths > Microfiber Towels > HDX Microfiber Towels,,USD,9.98,,"['https://images.thdstatic.com/productImages/28c72a19-1c8b-445c-9eba-34f7734f45b3/svn/hdx-microfiber-towels-2142099-64_100.jpg', 'https://images.thdstatic.com/productImages/cb4eb86a-f95e-421d-8405-f11c6e628855/svn/hdx-microfiber-towels-2142099-40_100.jpg', 'https://images.thdstatic.com/productImages/d64f9803-80da-47a3-ac89-14dd091cf574/svn/hdx-microfiber-towels-2142099-a0_100.jpg', 'https://images.thdstatic.com/productImages/d5ed0e63-3cbf-49cc-85b9-19e97a19c3dc/svn/hdx-microfiber-towels-2142099-1d_100.jpg', 'https://images.thdstatic.com/productImages/b80af1df-e99a-49d4-a8d1-b78800b45e36/svn/hdx-microfiber-towels-2142099-66_100.jpg', 'https://images.thdstatic.com/productImages/ba8a5a98-6610-44bd-adc5-95082f36b5ae/svn/hdx-microfiber-towels-2142099-77_100.jpg', 'https://images.thdstatic.com/productImages/5a30218e-4e90-470d-a133-d43185286e95/svn/hdx-microfiber-towels-2142099-c3_100.jpg', 'https://images.thdstatic.com/productImages/ba8a5a98-6610-44bd-adc5-95082f36b5ae/svn/hdx-microfiber-towels-2142099-4f_100.jpg', 'https://images.thdstatic.com/productImages/b3f913cc-a830-49c0-8ef5-ab931e76092c/svn/hdx-microfiber-towels-2142099-31_100.jpg']",4.7,1975,"HDX Microfiber Towels are statically charged to pick up dust and are great to use wet or dry, with or without chemicals on many surfaces such as countertops, doors, glass, furniture and more. Each package contains 24 towels, 12 are orange and 12 are gray, which allows for color-coded cleaning by area of the home. Towels are machine washable and reusable.","{'Cleaning Tool Type': 'Microfiber Cloth', 'Color': 'Orange and Gray', 'Color Family': 'Multi-Colored', 'Features': 'Reusable,Washable', 'Material': 'Polyester (87%), Nylon (13%)', 'Origin': 'Imported', 'Pack Size': '24', 'Package Quantity': '24', 'Packaging': 'Bag', 'Returnable': '90-Day', 'Manufacturer Warranty': '0', 'Product Length (in.)': '16 in', 'Product Width (in.)': '16 in'}"
https://www.homedepot.com/p/Harris-128-oz-30-Vinegar-All-Purpose-Cleaner-Concentrate-VINE30-128/309463051,Harris 128 oz. 30% Vinegar All Purpose Cleaner Concentrate VINE30-128,Harris,Home > Cleaning > Cleaning Products > All-Purpose Cleaners > Harris All-Purpose Cleaners,,USD,18.47,,"['https://images.thdstatic.com/productImages/563a883f-9966-4f20-a2fa-8d19dc160779/svn/harris-all-purpose-cleaners-vine30-128-64_100.jpg', 'https://images.thdstatic.com/productImages/bcab2c23-1cde-456a-8391-c3cd7ff26207/svn/harris-all-purpose-cleaners-vine30-128-1d_100.jpg', 'https://images.thdstatic.com/productImages/d4a6a242-55dc-4d86-8240-0da8025ea01d/svn/harris-all-purpose-cleaners-vine30-128-66_100.jpg', 'https://images.thdstatic.com/productImages/24bb926c-0542-44f8-8d37-4540de2684d7/svn/harris-all-purpose-cleaners-vine30-128-c3_100.jpg', 'https://images.thdstatic.com/productImages/a0e34fe0-9208-4301-9f5a-ae51c5b52c82/svn/harris-all-purpose-cleaners-vine30-128-4f_100.jpg', 'https://images.thdstatic.com/productImages/956d68b4-1687-4165-b596-d1ffa7a5ef7d/svn/harris-all-purpose-cleaners-vine30-128-1f_100.jpg', 'https://images.thdstatic.com/productImages/62b7a569-ec25-4aed-a107-cc789d426632/svn/harris-all-purpose-cleaners-vine30-128-44_100.jpg', 'https://images.thdstatic.com/productImages/5fa2fc78-0aa6-4dad-b560-6be75d3feb1a/svn/harris-all-purpose-cleaners-vine30-128-fa_100.jpg', 'https://images.thdstatic.com/productImages/89de6e7e-48e9-44e8-b79c-8c3712bb1a9d/svn/harris-all-purpose-cleaners-vine30-128-76_100.jpg', 'https://images.thdstatic.com/productImages/d53f58f0-4563-43a4-a7ab-8c43f060ac85/svn/harris-all-purpose-cleaners-vine30-128-31_100.jpg']",4.8,2671,"Harris 30% Cleaning Vinegar Concentrate is 6X more powerful than standard vinegar for ultra cleaning power. Dilute with 60 parts of water to 1 part vinegar. The vinegar is good to use all around your home to clean your home, appliances, patios, driveways and eliminates odors from laundry.","{'Concentrated or Ready to Use': 'Concentrated', 'Disinfectant': 'Non Disinfectant', 'Features': 'No Additional Features', 'Formulation': 'Professional Strength', 'Helps Remove': 'Dirt,Grease,Odor,Scuff Marks', 'Pack Size': '1', 'Product Form': 'Liquid', 'Recommended Surfaces': 'Carpet,Wood', 'Returnable': '2-Day', 'Scent': 'Vinegar', 'Where to Use': 'Bathroom,Furniture,Kitchen,Laundry,Outdoor', 'Certifications and Listings': 'No Certifications or Listings', 'Manufacturer Warranty': 'No', 'Product Size': '128 OZ-Ounce'}"
https://www.homedepot.com/p/Charmin-Ultra-Soft-Smooth-Tear-Toilet-Paper-Rolls-18-Mega-Plus-Rolls-003077208463/326474646,Charmin Ultra-Soft Smooth Tear Toilet Paper Rolls (18 Mega Plus Rolls) 003077208463,Charmin,Home > Cleaning > Paper Products > Toilet Paper > Charmin Toilet Paper,,USD,26.98,,"['https://images.thdstatic.com/productImages/2554134f-ee69-4e1b-a70d-e128b816906c/svn/charmin-toilet-paper-003077208463-64_100.jpg', 'https://images.thdstatic.com/productImages/387b5138-b749-4ed6-a1c3-8e0777e95ce2/svn/charmin-toilet-paper-003077208463-e1_100.jpg', 'https://images.thdstatic.com/productImages/d5ebf1b9-3ccf-4571-9a64-114234ec9db9/svn/charmin-toilet-paper-003077208463-40_100.jpg', 'https://images.thdstatic.com/productImages/367b3bed-dd08-4f6e-b190-7bc0e2da2050/svn/charmin-toilet-paper-003077208463-a0_100.jpg', 'https://images.thdstatic.com/productImages/95781973-4c2b-42e7-b1a7-4f042fc8cb99/svn/charmin-toilet-paper-003077208463-1d_100.jpg', 'https://images.thdstatic.com/productImages/0fd3b285-eefc-4ef6-a2c1-6a52c48c240c/svn/charmin-toilet-paper-003077208463-66_100.jpg', 'https://images.thdstatic.com/productImages/d5aa7f23-f54e-4a57-8cbd-08833f9955a6/svn/charmin-toilet-paper-003077208463-77_100.jpg', 'https://images.thdstatic.com/productImages/00b74acc-e362-464f-a797-6edd401550a8/svn/charmin-toilet-paper-003077208463-c3_100.jpg', 'https://images.thdstatic.com/productImages/808383cf-97a5-4a61-8e9a-394146ca8b0c/svn/charmin-toilet-paper-003077208463-4f_100.jpg', 'https://images.thdstatic.com/productImages/80bfd6ac-7a81-42a5-9592-89dfd286849e/svn/charmin-toilet-paper-003077208463-1f_100.jpg']",4.5,5414,"Get irresistible cush for your tush with Charmin Ultra Soft Smooth Tear. Every roll is crafted with wavy perforations that tear better, for a smooth, more enjoyable go. And each sheet of toilet paper is 2X more absorbent so you can use less (versus the leading USA 1-ply bargain brand). We made it MEGA PLUS in size, so you get mega value. That's right, our Charmin Ultra Soft Mega Plus Roll equals 4 plus regular rolls (based on number of sheets in Charmin Regular Roll bath tissue), so you'll be running back to the store less and less. Our Charmin Ultra Soft toilet paper is also 2-ply and designed to be clog-safe and septic-safe. We all go, why not Enjoy The Go with America's favorite toilet paper*. Charmin Brand based on sales. Source: Nielsen 2022 dollar sales.","{'Color Family': 'Blue', 'Commercial/Residential': 'Residential', 'Features': 'Perforated', 'Number of Ply': '2 Ply', 'Number of Rolls in Pack': '18 rolls', 'Number of Sheets': '252', 'Number of sheets per roll': '252', 'Pack Size': '1', 'Returnable': '90-Day'}"
https://www.homedepot.com/p/HDX-13-Gallon-Reinforced-Top-Drawstring-Fresh-Scented-Tall-Kitchen-Trash-Bags-with-20-PCR-200-Count-HDR13XHFN200W-F/331012931,HDX 13 Gallon Reinforced Top Drawstring Fresh Scented Tall Kitchen Trash Bags with 20% PCR (200-Count) HDR13XHFN200W-F,HDX,Home > Cleaning > Trash & Recycling > Trash Bags > Garbage Bags > HDX Garbage Bags,,USD,23.49,,"['https://images.thdstatic.com/productImages/2bcb304f-c1db-4f39-9f02-eb90d39a2075/svn/hdx-garbage-bags-hdr13xhfn200w-f-64_100.jpg', 'https://images.thdstatic.com/productImages/fcb286ae-a024-4001-8564-78b438ede42e/svn/hdx-garbage-bags-hdr13xhfn200w-f-e1_100.jpg', 'https://images.thdstatic.com/productImages/bd5e2d02-1af8-4e04-b1f6-c94e3ea53d39/svn/hdx-garbage-bags-hdr13xhfn200w-f-1d_100.jpg', 'https://images.thdstatic.com/productImages/314da3e9-ff33-4198-8953-80ec0b9a2f37/svn/hdx-garbage-bags-hdr13xhfn200w-f-c3_100.jpg', 'https://images.thdstatic.com/productImages/1f7c1893-bf21-4974-a99a-bcd27d030ba6/svn/hdx-garbage-bags-hdr13xhfn200w-f-4f_100.jpg', 'https://images.thdstatic.com/productImages/506d4b7a-7231-4530-a12e-23530b1b1a7b/svn/hdx-garbage-bags-hdr13xhfn200w-f-1f_100.jpg', 'https://images.thdstatic.com/productImages/552e2b13-663e-4c45-bd08-41a15d2bf11d/svn/hdx-garbage-bags-hdr13xhfn200w-f-44_100.jpg', 'https://images.thdstatic.com/productImages/f48de0e9-24cf-4247-a90b-5c7bb7e04f13/svn/hdx-garbage-bags-hdr13xhfn200w-f-fa_100.jpg', 'https://images.thdstatic.com/productImages/7e213de2-062f-44d7-89ff-56f203d4f671/svn/hdx-garbage-bags-hdr13xhfn200w-f-76_100.jpg']",4.8,772,"HDX 13 Gal. Drawstring Kitchen Bags have a double-thick top to add strength where it is needed most. The expandable drawstring feature allows the top of the bag to comfortably grip the trash can, reducing the risk of slipping inside the can. Flex technology improves the bag's containment capacity.","{'Capacity': '13 GA-Gallon', 'Closure': 'Drawstring', 'Color': 'White', 'Color Family': 'White', 'Features': 'Disposable,Scented,Textured', 'Gauge': '0.82', 'Material': 'Polyethylene', 'Pack Size': '1', 'Package Count': '200', 'Packaging': 'Box', 'Returnable': '90-Day', 'Scent': 'Fresh', 'Trash and Recycling Product Type': 'Trash Bag/Liner', 'Usage Type': 'Draw & Tie Trash Bags', 'Bag thickness (mil)': '0.82', 'Product Length (in.)': '25.08 in', 'Product Width (in.)': '24 in'}"
