pdp_url,product_id,product_name,brand,currency,selling_price,regular_price,promotion_description,review,rating,image,product_description,size,material_care,availability
https://www.very.co.uk/everyday-boys-5-pack-polo-school-tops-white/1600406895.prd,1600406895,Boys 5 Pack Polo School Tops - White,Everyday,GBP,11,,,95,4.1,https://media.very.co.uk/i/very/PHNEJ_SQ1_0000000013_WHITE_ASf?$pdp_300x400_x2$&fmt=jpg,"Boys 5 Pack Polo School Tops from Everyday, White, Soft and comfyÂ , Â that washes brilliantly, means less time keeping them looking smart!, The clean white topsÂ feature a special ,  for long lasting good looks, Three-button placket fastening is complemented by aÂ tippedÂ collar, They're alsoÂ , Â for added ease on busy mornings, Short sleeves,  keeps them fresh all day long, Warning: keep away from fire and flames","['3-4 YEARS', '4-5 YEARS', '5-6 YEARS', '6-7 YEARS', '7-8 YEARS', '8-9 YEARS', '9-10 YEARS', '10-11 YEARS', '11-12 YEARS', '12-13 YEARS', '13-14 YEARS', '14-15 YEARS', '15-16 YEARS']","['Material Content: 100%Â\xa0cotton', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/smallsaints-boys-logo-3-pack-t-shirt-multi/1601129041.prd,1601129041,Boys Logo 3 Pack T-Shirt - Multi,smALLSAINTS,GBP,28,,,1,5,https://media.very.co.uk/i/very/WG74X_SQ1_0000000029_MULTI_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Logo 3 Pack T-Shirt by smALLSAINTS, Multi, Pack of 3 grey/black/white, Short sleeves, Crew neck, Small front logo","['4-5 YEARS', '5-6 YEARS', '6-7 YEARS', '7-8 YEARS', '8-9 YEARS', '9-10 YEARS', '10-11 YEARS', '11-12 YEARS', '12-13 YEARS']","['Material Content: T-shirt Black:100% Cotton/ T-shirt White:100% Cotton/ T-shirt Grey:90% Cotton,10% Viscose', 'Washing Instructions: Machine Washable']",False
https://www.very.co.uk/adidas-youth-tiro-essentials-tracksuit-blackwhite/1601102669.prd,1601102669,Youth  Tiro Essentials Tracksuit - Black/white,adidas,GBP,40,,,4,5,https://media.very.co.uk/i/very/WCXPW_SQ1_0000000004_BLACK_MDf?$pdp_300x400_x2$&fmt=jpg,,"['5-6 YEARS', '7-8 YEARS', '9-10 YEARS', '11-12 YEARS', '13-14 YEARS', '15-16 YEARS']",,True
https://www.very.co.uk/nike-kids-boys-dri-fit-shorts-and-t-shirt-set-black-blue/1601150857.prd,1601150857,Kids Boys Dri-Fit Shorts And T-Shirt Set - Black/ - Blue,Nike,GBP,30,,,,,https://media.very.co.uk/i/very/WIDA3_SQ1_0000000020_BLUE_SLf?$pdp_300x400_x2$&fmt=jpg,"Kids Boys Dri-Fit Shorts And T-Shirt Set - Black/ by Nike, Blue, Crew neck, short sleeve T-shirt, Elasticated waist shorts, Logo print","['2-3 YEARS', '3-4 YEARS', '4-5 YEARS', '5-6 YEARS', '6-7 YEARS']",['Material Content: 100% POLYESTER'],True
https://www.very.co.uk/everyday-boys-5-pack-short-sleeve-school-shirt-white/1600707912.prd,1600707912,Boys 5 Pack Short Sleeve School Shirt - White,Everyday,GBP,14,,,36,4.1,https://media.very.co.uk/i/very/UH43C_SQ1_0000000013_WHITE_ASf?$pdp_300x400_x2$&fmt=jpg,"Children'sÂ Short Sleeve SchoolÂ Shirts by Everyday, WhiteÂ , They'll go straight to the top of the class with these Everyday school shirtsÂ ,  means less time keeping them looking smart!,  keeps them fresh all day longÂ , has a touch close button fastening for ages up to and including 7-8yrs, Arriving in a , Collared neckline with a button down frontÂ ,  keeps them smartÂ , Short sleeved - perfect for the summer monthsÂ , Smart whiteÂ shadeÂ ","['3-4 YEARS', '4-5 YEARS', '5-6 YEARS', '6-7 YEARS', '7-8 YEARS', '8-9 YEARS', '9-10 YEARS', '10-11 YEARS', '11-12 YEARS', '12-13 YEARS', '13-14 YEARS', '14-15 YEARS', '15-16 YEARS']","['Material Content: 65% Polyester 35% Cotton', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/ted-baker-3-pack-tees-multi/1600994379.prd,1600994379,3 Pack Tees - Multi,Ted Baker,GBP,21,30,Save up to £10.50,3,5,https://media.very.co.uk/i/very/VYAEU_SQ1_0000000029_MULTI_SLf?$pdp_300x400_x2$&fmt=jpg,,"['4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '9 YEARS', '10 YEARS', '11 YEARS', '12 YEARS', '13 YEARS']",,True
https://www.very.co.uk/tommy-hilfiger-boys-boys-colour-block-t-shirt-and-short-set-blue/1601090772.prd,1601090772,Boys Boys Colour Block T-Shirt And Short Set - Blue,Tommy Hilfiger,GBP,38.50,55,Save up to £19.50,,,https://media.very.co.uk/i/very/WAULF_SQ1_0000000020_BLUE_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Boys Colour Block T-Shirt And Short Set by Tommy Hilfiger, Blue, Crew neck, Short sleeves, Can be worn separately or together for effortless coordination","['4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '10 YEARS', '12 YEARS', '14 YEARS', '16 YEARS']","['Material Content: 100% Cotton', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/everyday-boys-2-piece-long-sleeve-green-sweatshirt-and-joggers-set-beige/1600981383.prd,1600981383,Boys 2 Piece Long Sleeve Green Sweatshirt and Joggers Set - Beige,Everyday,GBP,5.75,18,Save up to £16.25,2,3.5,https://media.very.co.uk/i/very/VWIXQ_SQ1_0000000029_MULTI_SLf?$pdp_300x400_x2$&fmt=jpg,"2 Piece Long Sleeve Green Sweatshirt and Joggers Set by Everyday, Beige, Great value 2 piece set, Perfect for casual days, it features a comfy sweatshirt and matching joggers - all they need to do is add their trainers of choice!, Soft and comfy cotton-rich fabric, Crew neck sweat top with long sleeves, Ribbed cuffs and hem, Embroidered dinosaur to the chest, Joggers with stretchy waist for pull-on ease, Drawcord gives a personalised fit, Slanted pockets","['3 YEARS', '4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '9 YEARS', '10 YEARS', '11 YEARS', '12 YEARS', '13 YEARS', '14 YEARS', '15 YEARS', '16 YEARS']","['Material Content: 80% Cotton 20% Polyester', 'Washing Instructions: Machine Washable']",False
https://www.very.co.uk/v-by-very-boys-sweat-t-shirt-and-short-setnbsp/1601104336.prd,1601104336,Boys Sweat T-shirt And Short Set ,V by Very,GBP,18,,,,,https://media.very.co.uk/i/very/WCXY3_SQ1_0000000005_GREY_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Sweat T-shirt And Short Set from V by Very, Grey, Crew neck, short sleeve T-shirt with 'Miami Beach' embroidery, Elasticated waist shorts with drawstring, side slip pockets and back pocket","['3 YEARS', '4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '9 YEARS', '10 YEARS', '11 YEARS', '12 YEARS', '13 YEARS', '14 YEARS', '15 YEARS', '16 YEARS']",,False
https://www.very.co.uk/everyday-boys-2-packnbsppull-on-school-trousers-black/1600406952.prd,1600406952,Boys 2 Pack Pull On School Trousers - Black,Everyday,GBP,12,,,76,4.4,https://media.very.co.uk/i/very/PK9CU_SQ1_0000000004_BLACK_ASf?$pdp_300x400_x2$&fmt=jpg," allows them to shrug off minor spills and stains,  means less ironing time!Â , Reinforced knees help them stand up to everything playtime can throw at them, AnÂ , keeps them fresh all day longÂ , The ,  keeps up with sudden growth spurts, They're ,  for fuss-free drying on busy school mornings,  full elastic back means noÂ fiddly fastenings, allowing for fuss-free dressing, Pockets, Belt loops","['3-4 YEARS', '4-5 YEARS', '5-6 YEARS', '6-7 YEARS', '7-8 YEARS', '8-9 YEARS', '9-10 YEARS', '10-11 YEARS', '11-12 YEARS', '12-13 YEARS', '13-14 YEARS', '14-15 YEARS', '15-16 YEARS']","['Material Content: 65% Polyester 35% Viscose', 'Washing Instructions: Machine Washable']",True
