unique_id,product_name,regular_price,selling_price,percentage_discount,breadcrumb,pdp_url,uom
508612,"Zott Jogobella élőflórás, zsírszegény joghurtos ital 250 g",,319,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Zott Jogobella élőflórás, zsírszegény joghurtos ital 250 g","https://auchan.hu/shop/zott-jogobella-élőflórás,-zsírszegény-joghurtos-ital-250-g.p-509938",g
17455,Zott Jogobella joghurtos ital 250 g,,319,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Zott Jogobella joghurtos ital 250 g,https://auchan.hu/shop/zott-jogobella-joghurtos-ital-250-g.p-557410,g
17458,Zott Jogobella joghurtos ital 250 g,,319,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Zott Jogobella joghurtos ital 250 g,https://auchan.hu/shop/zott-jogobella-joghurtos-ital-250-g.p-557414,g
782720,Real Nature epres-banános joghurtital 250 g,,369,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Real Nature epres-banános joghurtital 250 g,https://auchan.hu/shop/real-nature-epres-banános-joghurtital-250-g.p-763965,g
828326,Danone dinnye ízű iható fermentált tejkészítmény 310 g,,429,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Danone dinnye ízű iható fermentált tejkészítmény 310 g,https://auchan.hu/shop/danone-dinnye-ízű-iható-fermentált-tejkészítmény-310-g.p-953460,g
828374,Danone eper ízű iható fermentált tejkészítmény 310 g,,429,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Danone eper ízű iható fermentált tejkészítmény 310 g,https://auchan.hu/shop/danone-eper-ízű-iható-fermentált-tejkészítmény-310-g.p-959303,g
828329,Danone málnaízű iható fermentált tejkészítmény 310 g,,429,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Danone málnaízű iható fermentált tejkészítmény 310 g,https://auchan.hu/shop/danone-málnaízű-iható-fermentált-tejkészítmény-310-g.p-953461,g
615665,Parmalat zsírszegény epres ivójoghurt 330 g,,459,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Parmalat zsírszegény epres ivójoghurt 330 g,https://auchan.hu/shop/parmalat-zsírszegény-epres-ivójoghurt-330-g.p-695177,g
615659,Parmalat zsírszegény erdei gyümölcsös ivójoghurt 330 g,,459,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Parmalat zsírszegény erdei gyümölcsös ivójoghurt 330 g,https://auchan.hu/shop/parmalat-zsírszegény-erdei-gyümölcsös-ivójoghurt-330-g.p-695022,g
615662,Parmalat zsírszegény meggyes ivójoghurt 330 g,,459,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Parmalat zsírszegény meggyes ivójoghurt 330 g,https://auchan.hu/shop/parmalat-zsírszegény-meggyes-ivójoghurt-330-g.p-695176,g
615656,Parmalat zsírszegény őszibarackos ivójoghurt 330,,459,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Parmalat zsírszegény őszibarackos ivójoghurt 330,https://auchan.hu/shop/parmalat-zsírszegény-őszibarackos-ivójoghurt-330.p-695021,
451360,Havasi Joghurt,,464,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Havasi Joghurt,https://auchan.hu/shop/havasi-joghurt.p-379299,
452089,Danone Actimel eperízű sovány joghurtalapú ital édesítőszerekkel 4 x 100 g (400 g),799,499,37,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > joghurt-italok > Danone Actimel eperízű sovány joghurtalapú ital édesítőszerekkel 4 x 100 g (400 g),https://auchan.hu/shop/danone-actimel-eperízű-sovány-joghurtalapú-ital-édesítőszerekkel-4-x-100-g-(400-g).p-409985,g
