pdp_url,product_name,selling_price,regular_price,rating,review,image,ingredients,warning,specification,promotion_description,product_description
https://www.walmart.com/ip/Gemmy-Airblown-Inflatable-Bluey-in-Vampire-Costume-Bluey-3-5-ft-Tall-Blue/1148036767,"Gemmy Airblown Inflatable Bluey in Vampire Costume Bluey, 3.5 ft Tall, Blue",52.99,,4.6,47,https://i5.walmartimages.com/seo/Gemmy-Airblown-Inflatable-Bluey-in-Vampire-Costume-Bluey-3-5-ft-Tall-Blue_13f61900-f537-49a1-9e94-2eb0d925d708.36e4429e26deac840d4c6e4f60683f72.jpeg,,,"{'Features': 'Lights Up', 'Brand': 'Gemmy', 'Assembled Product Weight': '4 lb', 'Occasion': 'Halloween'}",,"Vampire Bluey Inflatable Halloween Decoration | Self-Inflating Lighted Yard OrnamentMake your yard the talk of the town this Halloween with our Bluey Inflatable Halloween Decoration! Standing at 3.5 feet tall and complete with a charming jack-o'-lantern accessory, this adorable Airblown ornament adds a delightful touch to your spooky decor. Bluey is dressed to impress as a vampire, perfect for a night of trick-or-treating fun. Lights up for a captivating display, this self-inflating decoration is easy to set up and even easier to fold away for storage. Share the spirit of Halloween with the whole neighborhood and bring a smile to everyone's face with our Bluey Inflatable Decoration. Complete with stakes and tethers for secure placement, make this Halloween a memorable one with Bluey by your side!"
https://www.walmart.com/ip/DC-72IN-DIY-PKN-NT/15229605606,"DIY Animated Giant Pumpkin Nutcracker, 72"", Halloween by Way To Celebrate",159.00,,4.6,222,https://i5.walmartimages.com/seo/DC-72IN-DIY-PKN-NT_81775f36-0823-4807-a2a1-99bfd96a18ae.97a9ef9aceb4cc08528e5bd76432de9f.jpeg,,,"{'Brand': 'Way To Celebrate', 'Manufacturer Part Number': '28039547', 'Color': 'White', 'Assembled Product Weight': '11.02 lb', 'Assembled Product Dimensions (L x W x H)': '15.74 x 19.68 x 72.00 in'}",,"Make a bold and bone-chilling statement with the Way To Celebrate Halloween DIY Animated Giant Pumpkin Nutcracker. Standing an impressive 6 feet tall, this ghostly figure blends nutcracker nostalgia with Halloween charm. Its all-white design features a creepy jack-o'-lantern head, formal suit detailing, and light-up buttons that glow with eerie LED brilliance. Motion-activated for maximum impact, it plays spooky sounds and illuminates just as trick-or-treaters pass by. Crafted from durable, lightweight..."
https://www.walmart.com/ip/Thyme-Table-2-Pack-12oz-Bat-Charm-Drinking-Glass-Set/15249600417,"Thyme & Table 12 fl oz Halloween Bat Charm Drinking Glasses, Set of 2",18.98,,4.7,60,https://i5.walmartimages.com/seo/Thyme-Table-2-Pack-12oz-Bat-Charm-Drinking-Glass-Set_a248590b-9285-4c77-8950-6a0f215bbe59.81baf09f28ca61160494b4fbe0ee5fed.jpeg,,none,"{'Features': 'Handmade', 'Brand': 'Thyme & Table', 'Manufacturer': 'Thyme & Table', 'Color': 'Clear', 'Manufacturer Part Number': 'TT1938R-ECOM', 'Assembled Product Weight': '0.88 lb', 'Assembled Product Dimensions (L x W x H)': '3.10 x 3.10 x 3.90 in'}",,"Elevate your drinkware collection with the Thyme & Table12oz Bat Charm Drinking Glasses. Crafted from high-quality glass, these charming tumblers feature a playful bat design that adds a whimsical touch to any beverage. Each 12oz glass is perfect for serving everything from cocktails to sparkling water, making them a versatile addition to your home bar or kitchen. Ideal for entertaining or everyday use, these glasses combine fun and functionality in one delightful set. Dishwasher safe for everyday convenience."
https://www.walmart.com/ip/AIRDOBL-AB-BLUEY/10820955947,Halloween Airdorable Yard Inflatables Bluey with Pumpkin 10.62 in x 14.56 in x 22.44 in 0.70 lb,19.88,,4.5,28,https://i5.walmartimages.com/seo/AIRDOBL-AB-BLUEY_c5b13240-2000-4216-bfb8-2fda5f736498.d3d7ccc614f930cfe8dead4ccf2dfed0.jpeg,,,,,"Make your home look seasonally fun with this Air Blown Miniature Yard Inflatable. Featuring your favorite icon, this inflatable is sure to get your friends, family, and neighbors in the holiday spirit. It stands astonishingly indoors and is ready to greet your guests. For setup, turn it on and watch the magic unfold. Display this inflatable as a standalone or combine it with other inflatables to create a custom scene. Looking for more accessories? Check out your local Walmart for licensed and Way to Celebrate accessories like lights, Halloween accessories, and more. Add some flair to your home with this astonishing Halloween Inflatable."
https://www.walmart.com/ip/5FT-FAUX-SKLTN-WHT/15185271641,"5ft White Poseable Skeleton Decoration, Halloween Outdoor Decor, by Way To Celebrate",27.94,,4.5,136,https://i5.walmartimages.com/seo/5FT-FAUX-SKLTN-WHT_c5716446-f575-436b-ae08-c809e9ca3493.60a80e0b1d71232fb2b66c241ac20d55.jpeg,,,"{'Features': 'Weatherproof', 'Brand': 'Way To Celebrate', 'Manufacturer Part Number': '28039547', 'Color': 'White', 'Assembled Product Weight': '3.97 lb', 'Assembled Product Dimensions (L x W x H)': '6.70 x 15.70 x 60.00 Inches'}",,"Set the scene for a bone-rattling good time with the Way To Celebrate Halloween Hanging Posable Faux Skeleton Decoration. Standing at five feet tall, this life-sized faux skeleton is designed with movable joints so you can strike it in spooky, silly, or downright eerie poses. Whether you're propping it in a chair, leaning it against a wall, or hanging it from a tree, this bony buddy brings classic Halloween charm to any indoor or outdoor setup. Its realistic detailing and durable design make it a must-have for haunted houses, front porch frights, or photo-worthy party scenes. Bring your spooky vision to life with the Way To Celebrate Halloween Hanging Posable Faux Skeleton Decoration."
https://www.walmart.com/ip/Way-to-Celebrate-Women-s-Top-and-Shorts-Pajama-Set-2-Piece-Sizes-XS-3X/15199871526,"Halloween Women’s Printed Notched Top and Shorts Pajama Set from Way to Celebrate, 2-Piece, Sizes XS-3X",16.98,,4.7,1295,https://i5.walmartimages.com/seo/Way-to-Celebrate-Women-s-Top-and-Shorts-Pajama-Set-2-Piece-Sizes-XS-3X_37cb8dcb-ed4c-4712-9e95-dd85a09fc2dd.72706fe2699efde054d07d62bf525c43.jpeg,,,"{'Brand': 'Way To Celebrate', 'Clothing Size': 'L', 'Size': 'L', 'Gender': 'Female', 'Color': 'Black Soot', 'Character': 'Ghosts', 'Sleeve Length Style': 'Short Sleeve', 'Clothing Neck Style': 'Notch Neck', 'Fabric Content': '95% Recycled Polyester, 5% Spandex', 'Fastener Type': 'Pull-On', 'Model': 'WTC4540635SA-L'}",,"It’s giving festive and cozy! This Way to Celebrate Halloween Printed Notched Top and Shorts Pajama Set brings just the right dose of Halloween spirit. Featuring a button-front top with a notched collar and matching shorts (complete with handy pockets), this women’s set helps keep you lounge-ready this spooky season. A playful Halloween print and a relaxed fit offer all the comfort for scary movie marathons, midnight candy snacking, and lounging in festive style."
https://www.walmart.com/ip/DC-AB-BINGO-MD/15320352605,Halloween Airblown Yard Inflatables Bingo as Witch 30.70 in x 35.43 in x 66.14 in 3.19 lb,44.97,,,,https://i5.walmartimages.com/seo/DC-AB-BINGO-MD_69dcf3f0-58fe-4079-80c0-7b3378fb6db7.db9339626df063a22e2a6727f40006f7.jpeg,,,"{'Features': 'Lights Up', 'Brand': 'Bluey', 'Assembled Product Weight': '3.2 lb', 'Occasion': 'Halloween', 'Manufacturer': 'Gemmy Industries', 'Color': 'Multicolor', 'Assembled Product Dimensions (L x W x H)': '35.43 x 30.71 x 66.14 in'}",,"Make your yard look seasonally fun with this Air Blown Yard Inflatable. Featuring your favorite icon, this yard inflatable is sure to get your friends, family, and neighbors in the holiday spirit. It stands an astonishingly tall in your yard or indoors and is ready to greet your guests. For setup, just plug it in, stake it down and watch the magic unfold. Display this inflatable as a standalone or combine it with other inflatables to create a custom scene. Looking for more accessories? Check out other Way To Celebrate accessories like trees, lights, Halloween accessories, and more. Add some flair to your home with this astonishing Halloween Yard Inflatable."
https://www.walmart.com/ip/DC-60IN-LED-SKTN-CAT/15241115208,"Animated Skeleton Cat with Light Up Eyes, 4ft Height, Halloween by Way To Celebrate",119.00,,2.9,7,https://i5.walmartimages.com/seo/DC-60IN-LED-SKTN-CAT_0823cdc3-e1fe-4cc5-9a6e-5bb80a0a8a67.6bf55a6a5ff55822f6933b1e98f8f2ad.jpeg,,This product contains a battery. Death or serious injury can occur if ingested. A swallowed battery can cause Internal Chemical Burn in as little as 2 hours. Keep new and used batteries OUT OF REACH OF CHILDREN. Seek Immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"{'Features': 'Weatherproof', 'Brand': 'Way To Celebrate', 'Manufacturer Part Number': '28039547', 'Color': 'Off-White', 'Assembled Product Weight': '13.23 lb', 'Assembled Product Dimensions (L x W x H)': '19.70 x 59.80 x 46.10 in'}",,"Unleash bone-chilling fun with the Way To Celebrate Halloween Giant Skeleton Cat. This massive skeletal feline stands 4 feet tall and stretches nearly 5 feet long, making it a hauntingly bold addition to your Halloween display. With fierce fangs, glowing red LED eyes, and spooky sounds that echo through the night, it’s designed to deliver maximum scare. Pose it standing tall or sitting back on its haunches to suit your haunted scene. Whether guarding your porch or creeping through your living room, th..."
https://www.walmart.com/ip/DC-AB-HELLO-KITTY-RF/15270773533,Halloween Airblown Yard Inflatables Hello Kitty in Pumpkin 41.73 in x 28.74 in x 53.93 in 3.28 lb,44.97,,5.0,1,https://i5.walmartimages.com/seo/DC-AB-HELLO-KITTY-RF_5f10fd08-b683-4152-8506-0c1219b70e00.e89b109263584d1a35331ec5a7618ba0.jpeg,,,"{'Features': 'Lights Up', 'Brand': 'Hello Kitty', 'Assembled Product Weight': '3.29 lb', 'Occasion': 'Halloween', 'Manufacturer': 'Gemmy Industries', 'Color': 'Multicolor'}",,"Make your yard look seasonally fun with this Air Blown Yard Inflatable. Featuring your favorite icon, this yard inflatable is sure to get your friends, family, and neighbors in the holiday spirit. It stands an astonishingly tall in your yard or indoors and is ready to greet your guests. For setup, just plug it in, stake it down and watch the magic unfold. Display this inflatable as a standalone or combine it with other inflatables to create a custom scene. Looking for more accessories? Check out other Way To Celebrate accessories like trees, lights, Halloween accessories, and more. Add some flair to your home with this astonishing Halloween Yard Inflatable."
https://www.walmart.com/ip/Guvpev-Girls-KPop-Demon-Hunters-Huntrix-Costume-Pop-Singers-Rumi-Halloween-Cosplay-Costumes-Dress-Up-Stage-Outfit-Set-for-3-12-Years/17232223937,Guvpev Girls KPop Demon Hunters Huntrix Costume Pop Singers Rumi Halloween Cosplay Costumes Dress Up Stage Outfit Set for 3-12 Years,19.99,,5.0,1,https://i5.walmartimages.com/seo/Guvpev-Girls-KPop-Demon-Hunters-Huntrix-Costume-Pop-Singers-Rumi-Halloween-Cosplay-Costumes-Dress-Up-Stage-Outfit-Set-for-3-12-Years_124035c1-dde3-46ca-97ff-34ae6145b1f2.1059f96d6cadb6322669934bc9f14910.jpeg,,,"{'Brand': 'Guvpev', 'Character': 'Rumi', 'Age Group': 'Tween, Child', 'Gender': 'Unisex', 'Theme': 'Halloween; Cosplay; Masquerade; Fancy Dress Costumes; Mario & Luigi; Video Game', 'Clothing Size Group': 'Girls', 'Clothing Size': '3-4 Years', 'Color': 'Multicolor', 'Manufacturer': 'Guvpev', 'Manufacturer Part Number': 'WB250715COS-CJ57'}",,"Guvpev Girls KPop Demon Hunters Huntrix Costume Pop Singers Rumi Halloween Cosplay Costumes Dress Up Stage Outfit Set for 3-12 Years🔥Kpop Demon Hunters Huntrix Costume🔥&lt;a href=""https://www.walmart.com/global/seller/101544283?facet=brand%3AGuvpev""&gt;Sold and shipped by Way Bee LTD&lt;/a&gt;🎵These KPop Demon Hunters costumes, inspired by Rumi/Mira/Zoey, combine premium quality, elaborate designs, versatile styles, user-friendly wearability, and are ideal for cosplay events, making them a must-have for fans. Order now and let your little superstar step into the world of KPop Demon Hunters Huntrix!📌Specification：Style: KPop Demon HuntersCharacters: RumiMaterial: Polyester + CottonDepartment: Unisex ChildSize: Please refer to the size chart for specific recommendations, tested on models.High quality: Can maintain original color and shape after multiple washes.Occasion: Great for Cosplay, Halloween, Birthday, Christmas, Party, Carnival, Holiday, Dress Up, Daily Wear, Fancy Dress, Halloween Costumes👕Package Included:1Set x Girls Demon Hunters Rumi Outfit⚠️Note:1. There is 2-3% difference based on manual measurement.2. Please check the measurement chart carefully before purchasing the item.3. Please note that the slight color difference should be acceptable due to the light and the screen."
