web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,image-0-src,text-1,text-2,text-3,text-4,text-5,text-6,rating
"1756121626-1","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Hole-knit resort shirt","https://www2.hm.com/en_in/productpage.1251288001.html","https://image.hm.com/assets/hm/de/6a/de6a185476cc01ecad009c0a8b44a72fd1c7dad9.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Hole-knit resort shirt","Shirt in a soft hole knit with a resort collar, buttons down the front and a yoke at the back. Long sleeves with buttoned cuffs and a sleeve placket. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Black","",""
"1756121632-2","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Utility overshirt","https://www2.hm.com/en_in/productpage.1231419001.html","https://image.hm.com/assets/hm/c7/19/c719821acea0b748a3955ed266b8dfbcd3b2e09b.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Utility overshirt","Overshirt in a stretch weave with a collar, French front, flap front pockets and a yoke at the back. Gently dropped shoulders and long sleeves with buttoned cuffs. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Black","Reviews [8]","5"
"1756121637-3","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Zip-through overshirt","https://www2.hm.com/en_in/productpage.1234988002.html","https://image.hm.com/assets/hm/b6/3b/b63b259146952d8c0e2ef74477ae48c4c527658c.jpg?imwidth=2160","Rs. 2,999.00","Regular Fit Zip-through overshirt","Overshirt in brushed twill with a collar, zip down the front, yoke at the back, open chest pockets and long sleeves with buttoned cuffs. Regular fit for comfortable wear and a classic silhouette. Partly lined.","XS

S

M

L

XL

XXL","Grey/checked","Reviews [17]","4.7"
"1756121642-4","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Flannel shirt","https://www2.hm.com/en_in/productpage.1234958004.html","https://image.hm.com/assets/hm/21/9c/219cefcc676b208300b011a558ba8a0f036cbcdd.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Flannel shirt","Shirt in soft cotton flannel with a turn-down collar, classic front and yoke at the back. Long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Navy blue","Reviews [52]","4.6"
"1756121648-5","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Linen-blend shirt","https://www2.hm.com/en_in/productpage.1256945009.html","https://image.hm.com/assets/hm/d2/a3/d2a39b5dc67f3892e3e66fc50f5bc3c5a9452e5f.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Linen-blend shirt","Shirt in an airy cotton and linen weave with a turn-down collar, classic front, a yoke at the back and an open chest pocket. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Rounded hem. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","Beige/Striped","Reviews [13]","4.7"
"1756121653-6","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Overshirt","https://www2.hm.com/en_in/productpage.1227910001.html","https://image.hm.com/assets/hm/8f/0b/8f0b4a51baa2ee9c42cb5b9440ebe2f4b7b51205.jpg?imwidth=2160","Rs. 2,999.00","Regular Fit Overshirt","Overshirt in a soft weave with a turn-down collar, French front, an open chest pocket, a yoke at the back, long sleeves with buttoned cuffs, and a rounded hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Light beige","Reviews [33]","4.7"
"1756121659-7","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Loose Fit Ribbed resort shirt","https://www2.hm.com/en_in/productpage.1273996004.html","https://image.hm.com/assets/hm/ac/15/ac159d7cd943f7f7794ea74889fe09c2c8d292b2.jpg?imwidth=2160","Rs. 2,299.00","Loose Fit Ribbed resort shirt","Short-sleeved shirt in ribbed jersey with a resort collar, French front, yoke at the back and a straight-cut hem with a slit at each side. Loose fit for a generous but not oversized silhouette.","XS

S

M

L

XL

XXL","Dark beige","",""
"1756121666-8","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Utility overshirt","https://www2.hm.com/en_in/productpage.1231419006.html","https://image.hm.com/assets/hm/a9/2b/a92bf24be7652337b4b91aa980204877b9e679af.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Utility overshirt","Overshirt in a stretch weave with a collar, French front, flap front pockets and a yoke at the back. Gently dropped shoulders and long sleeves with buttoned cuffs. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Dark brown","Reviews [8]","5"
"1756121673-9","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Short-sleeved jersey shirt","https://www2.hm.com/en_in/productpage.1229117004.html","https://image.hm.com/assets/hm/6b/c8/6bc8738f29ab4067023e5f4858e2cbc0cd413d12.jpg?imwidth=2160","Rs. 1,499.00","Regular Fit Short-sleeved jersey shirt","Short-sleeved shirt in textured jersey with a turn-down collar, French front, yoke at the back and a straight-cut hem with a slit at each side. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Brown","Reviews [70]","4.6"
"1756121679-10","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Poplin shirt","https://www2.hm.com/en_in/productpage.1285018001.html","https://image.hm.com/assets/hm/23/e2/23e26bbad8503d6cb151c88931f551c8ae96ceb7.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Poplin shirt","Shirt in cotton poplin with a turn-down collar, classic front and a yoke  with a box pleat at the back. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Rounded hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Light blue/Striped","",""
"1756121686-11","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Relaxed Fit Felted overshirt","https://www2.hm.com/en_in/productpage.1027390004.html","https://image.hm.com/assets/hm/28/4d/284de728f09157763e25409e3d404190148257c2.jpg?imwidth=2160","Rs. 2,699.00","Relaxed Fit Felted overshirt","Overshirt in felted fabric with a collar, buttons down the front and a yoke at the back. Relaxed fit with flap chest pocket with a button, long sleeves with a slit and button at the cuffs, and a rounded hem.","XS

S

M

L

XL

XXL","Light grey","Reviews [65]","4.5"
"1756121693-12","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Linen-blend shirt","https://www2.hm.com/en_in/productpage.1256945008.html","https://image.hm.com/assets/hm/8a/48/8a48bcdc11a8dfdfde346d00dbe6265e90ffdcda.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Linen-blend shirt","Shirt in an airy cotton and linen weave with a turn-down collar, classic front, a yoke at the back and an open chest pocket. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Rounded hem. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","Greige/Striped","Reviews [13]","4.7"
"1756121699-13","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Textured shirt","https://www2.hm.com/en_in/productpage.1251263003.html","https://image.hm.com/assets/hm/fe/6d/fe6d9ffb9b77de605f991308c20e39973c54e79e.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Textured shirt","Shirt in a textured weave with a button-down collar, classic front, yoke at the back and an open chest pocket. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Gently rounded hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Khaki green","Reviews [41]","4.4"
"1756121705-14","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Twill shirt","https://www2.hm.com/en_in/productpage.1231406006.html","https://image.hm.com/assets/hm/5b/44/5b44765bf75cb5b4cb5bb7d9a11c408c60bfd65f.jpg?imwidth=2160","Rs. 1,499.00","Regular Fit Twill shirt","Shirt in soft twill with a turn-down collar, French front and a yoke at the back. Long sleeves with buttoned cuffs and a sleeve placket with a link button. Rounded hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Beige","Reviews [133]","4.7"
"1756121712-15","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Corduroy shirt","https://www2.hm.com/en_in/productpage.1227956004.html","https://image.hm.com/assets/hm/4f/09/4f09334e7dd73894635924d1129d4b03ae2e2176.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Corduroy shirt","Shirt in soft cotton corduroy with a turn-down collar. Classic front, an open chest pocket and a yoke at the back. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Rounded hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Light beige","Reviews [667]","4.6"
"1756121716-16","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Twill shirt","https://www2.hm.com/en_in/productpage.1231406005.html","https://image.hm.com/assets/hm/04/9e/049e97d8116975d9e813e63161544782067a7f10.jpg?imwidth=2160","Rs. 1,499.00","Regular Fit Twill shirt","Shirt in soft twill with a turn-down collar, French front and a yoke at the back. Long sleeves with buttoned cuffs and a sleeve placket with a link button. Rounded hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","White","Reviews [133]","4.7"
"1756121723-17","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Twill shirt","https://www2.hm.com/en_in/productpage.1231406003.html","https://image.hm.com/assets/hm/be/cf/becf03cad31ddc479b30970ee6d27197cabe2f78.jpg?imwidth=2160","Rs. 1,499.00","Regular Fit Twill shirt","Shirt in soft twill with a turn-down collar, French front and a yoke at the back. Long sleeves with buttoned cuffs and a sleeve placket with a link button. Rounded hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Navy blue","Reviews [133]","4.7"
"1756121726-18","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Corduroy shirt","https://www2.hm.com/en_in/productpage.1227956002.html","https://image.hm.com/assets/hm/c6/8f/c68f7fc967aa3a5c9f039f8010722545b4af9803.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Corduroy shirt","Shirt in soft cotton corduroy with a turn-down collar. Classic front, an open chest pocket and a yoke at the back. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Rounded hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Navy blue","Reviews [667]","4.6"
"1756121733-19","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Slim Fit Stretch shirt","https://www2.hm.com/en_in/productpage.1257590004.html","https://image.hm.com/assets/hm/be/c5/bec56fdd33aadb49d4e4599ac1c219df16498928.jpg?imwidth=2160","Rs. 1,999.00","Slim Fit Stretch shirt","Shirt in a stretch weave made from a cotton blend with a cut-away collar, French front and a yoke at the back. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Gently rounded hem. Slim fit that hugs the contours of your body, creating a fitted silhouette.","XS

S

M

L

XL

XXL","Light blue","Reviews [3]","4.7"
"1756121737-20","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Felted overshirt","https://www2.hm.com/en_in/productpage.1227148009.html","https://image.hm.com/assets/hm/a4/c0/a4c0a3b7ff2afbc8b298c099e9285462e1324e43.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Felted overshirt","Overshirt in a felted weave with a collar, buttons down the front, yoke at the back, flap chest pockets, long sleeves and buttoned cuffs. Rounded hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Dark beige","Reviews [179]","4.5"
"1756121743-21","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Cotton resort shirt","https://www2.hm.com/en_in/productpage.1276825004.html","https://image.hm.com/assets/hm/7e/e6/7ee6e06cdc348e53ee0f56743ed6b02c13c04724.jpg?imwidth=2160","Rs. 1,499.00","Regular Fit Cotton resort shirt","Short-sleeved shirt in an airy cotton weave with a resort collar, French front, yoke at the back and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Beige/Patterned","Reviews [8]","4.3"
"1756121748-22","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Loose Fit Flannel shirt","https://www2.hm.com/en_in/productpage.1231416001.html","https://image.hm.com/assets/hm/b2/3c/b23cf2bee98e872470619ffbbbefca77771ab99a.jpg?imwidth=2160","Rs. 1,499.00","Loose Fit Flannel shirt","Shirt in soft flannel made from a cotton blend with a turn-down collar, classic front, yoke at the back and an open chest pocket. Long sleeves with buttoned cuffs and a sleeve placket with a link button, and a gently rounded hem. Loose fit for a generous but not oversized silhouette.","XS

S

M

L

XL

XXL","Dark blue/Checked","Reviews [176]","4.5"
