Brand,brand_type,Platform,Post ID/URL,Post Date/Time,User Handle,User Type,Post Text/Caption,Post Type,Media Type,Mentions Type,Hashtags Used,Engagement - Likes,Engagement - Comments,Engagement - Shares/Retweets,Views (Video),Common Keywords,Region,Language,Top Theme Tags,Campaign Tag,Image/Video URL
tesco,,Twitter,https://x.com/Tesco/status/1730557656111222834,2023-12-01T12:01:12.000Z,Tesco,,"If your tree is already up, share your picture here with #BecomeMoreChristmas 📷🎄",,Text,,['BecomeMoreChristmas'],33,146,10,,,,,,,
tesco,,Twitter,https://x.com/Tesco/status/1704406459318931554,2023-09-20T08:05:40.000Z,Tesco,,"Play the Clubcard Prices memory game at https://t.co/N5OihdpgM2 and share your score with #ClubcardAccepted for a chance to win 5,000 Clubcard points. Have you got what it takes? 💪",,Video,,['ClubcardAccepted'],237,88,27,4712204,,,,,,https://video.twimg.com/amplify_video/1704406394697375744/vid/avc1/1080x1080/y3IJZdXuLaYtKWb_.mp4
tesco,,Twitter,https://x.com/Tesco/status/1730548202560963041,2023-12-01T11:23:38.000Z,Tesco,,"December starts today, so we're wondering... what is your favourite time to put the Christmas tree up? ☃️📷 #BecomeMoreChristmas",,Text,,['BecomeMoreChristmas'],67,437,14,,,,,,,
tesco,,Twitter,https://x.com/Tesco/status/1729855345688777205,2023-11-29T13:30:28.000Z,Tesco,,"Got a little spare you can share this Christmas? Support your community at the Tesco Winter Food Collection.

Your donations will help @FareShareUK and @TrussellTrust to feed people that need support this winter.",,Video,,,83,41,25,131426,,,,,,https://video.twimg.com/amplify_video/1729855239543525378/vid/avc1/1080x1350/AxTzpgd4iQNx_9GB.mp4
tesco,,Twitter,https://x.com/Tesco/status/1704406742304473207,2023-09-20T08:06:48.000Z,Tesco,,"For full Ts&amp;C's, see",,Text,,,7,3,0,,,,,,,
tesco,,Twitter,https://x.com/Tesco/status/1713847250537902352,2023-10-16T09:20:00.000Z,Tesco,,"We're giving away the ultimate bundle of Halloween decorations, ready to transform your doorstep 🎃🚪
 
Comment below with what you love most about Halloween, using #TescoHalloween for your chance to win! 👇

Full Ts&amp;Cs at: https://t.co/e9JSX511H6",,Video,,['TescoHalloween'],621,806,339,82953,,,,,,https://video.twimg.com/amplify_video/1713847185975005184/vid/avc1/1080x1080/IYEM1A91XJ0gbs1Y.mp4
tesco,,Twitter,https://x.com/Tesco/status/1706332026075275594,2023-09-25T15:37:11.000Z,Tesco,,"Wish you could go to the movies as often as you wanted? Enter our Cineworld prize draw and your wish could be granted! Simply redeem a Cineworld Reward Partner code by 3 October for a chance to win 2 Unlimited memberships* 🎥 🍿 

Find out more at https://t.co/4MHI6nmMXc",,Video,,,18,6,5,21411,,,,,,https://video.twimg.com/amplify_video/1706331961734602752/vid/avc1/1080x1080/S2BEv-IQsezFwbwV.mp4
tesco,,Twitter,https://x.com/Tesco/status/1715371242222432293,2023-10-20T14:15:48.000Z,Tesco,,"Are you Friday night ready? Get all you need to make dinner, delivered from as little as 20 minutes! 🥘😋

Ts&amp;Cs apply. Find out more at https://t.co/BO0JKWVDxl",,Video,,,26,70,11,39201,,,,,,https://video.twimg.com/amplify_video/1715370611424350208/vid/avc1/1080x1350/k5OueDvVxU9kGbDx.mp4
tesco,,Twitter,https://x.com/Tesco/status/1714944506020171929,2023-10-19T10:00:07.000Z,Tesco,,"Calling all coffee-lovers ☕😍

What time of day is your cut-off for drinking coffee? Do you enjoy an espresso after dinner? Or is it no brew after 12? ⏲

Let's hear yours below 👇 #NationalCoffeeWeek",,Text,,['NationalCoffeeWeek'],16,39,4,,,,,,,
tesco,,Twitter,https://x.com/Tesco/status/1711321487611687405,2023-10-09T10:03:32.000Z,Tesco,,"For #InternationalBeerAndPizzaDay, we're covering all bases 😁

If you had to pick, which gets your vote? 👇",,Text,,['InternationalBeerAndPizzaDay'],11,15,2,,,,,,,
