pdp_url,prices,product_id,product_description,color,product_type
https://www.pullandbear.com/ae/playstation-x-stwd-color-block-jacket-l07701511,299.00,698626048,"PlayStation licensed jacket with a color block design, a zipper fastening, a high neck and elastic cuffs and hem.Total look",['Grey'],Clothing
https://www.pullandbear.com/ae/textured-jacket-l07700539,219.00,715722758,"Long sleeve jacket with snap button fastening, a shirt collar and side pockets.","['Black', 'Ecru']",Clothing
https://www.pullandbear.com/ae/baggy-cargo-pants-l07674504,189.00,715722759,"Baggy fit cargo pants with pockets, belt loops, and zipper fly and top button fastening.","['Anthracite grey', 'Brown', 'Black', 'Ice']",Clothing
https://www.pullandbear.com/ae/stwd-soccer-tshirt-l07152930,189.00,702863368,STWD soccer T-shirt with a ribbed collar and short sleeves.,['Black'],Clothing
https://www.pullandbear.com/ae/printed-baggy-joggers-l07675509,169.00,715722761,"Printed baggy tracksuit-style joggers, with pockets, an elasticated drawstring waistband, and made of a cotton blend.",['Dark grey'],Clothing
https://www.pullandbear.com/ae/baggy-jeans-l07683508,219.00,715722762,"Baggy jeans with a five-pocket design, belt loops, a zipper fly and top button fastening. Made of 100% cotton.","['Ecru', 'Medium blue', 'Pale indigo', 'Pale grey', 'Dark grey', 'Salmon', 'Lavender blue', 'Pale blue', 'Faded black', 'Greenish blue']",Clothing
https://www.pullandbear.com/ae/stwd-soccer-tshirt-l07152931,189.00,702863369,STWD soccer T-shirt with a ribbed collar and short sleeves with 'STWD Goods' text.,['Medium ecru'],Clothing
https://www.pullandbear.com/ae/round-neck-sweater-l07550509,169.00,715722764,"Ribbed knit sweater with long sleeves and a round neck, featuring a mock t-shirt collar.","['Off white', 'Black', 'Grey marl', 'Dark green']",Clothing
https://www.pullandbear.com/ae/pack-of-2-bracelets-l07902512,75.00,701042783,Pack of 2 metallic chain and bangle bracelets.,['Others'],Clothing
https://www.pullandbear.com/ae/basic-round-neck-sweatshirt-l07560514,129.00,711647332,Basic round neck sweatshirt available in various colours and made of a cotton blend.,"['Off white', 'Grey blue', 'Black', 'Grey marl', 'Ice']",Clothing
https://www.pullandbear.com/ae/fabric-stwd-backpack-l15090640,189.00,711647334,Fabric backpack available in various colours. STWD logo detail. Front pocket. Interior with a large compartment for organisation. Short carry handle and adjustable shoulder straps. Zip closure.Height x Width x Depth: 42 x 30 x 13 cm.,"['Grey', 'Khaki']",Clothing
https://www.pullandbear.com/ae/skater-jeans-l07683519,219.00,702191720,"Skater jeans with a five-pocket design, belt loops, zipper fly and top button fastening, and made from 100% cotton.","['Pale blue', 'Medium blue', 'Navy', 'Faded black', 'Black', 'Neon blue']",Clothing
https://www.pullandbear.com/ae/stwd-soccer-tshirt-l07152539,189.00,711475305,"STWD soccer T-shirt with a striped design, 'Puerto Rico' text, ribbed V-neck and short sleeve.",['Striped'],Clothing
https://www.pullandbear.com/ae/stwd-checked-soccer-tshirt-l07152929,189.00,713556104,STWD soccer T-shirt with a checked print and short sleeves.,['White'],Clothing
https://www.pullandbear.com/ae/ombre-skater-denim-bermuda-shorts-l03683569,269.00,705642633,"Denim skater Bermuda shorts with a five-pocket design, belt loops, zip and button fastening, an ombré print and trim details. Made of 100% cotton.",['Grey'],Clothing
https://www.pullandbear.com/ae/stwd-embroidered-hoodie-l07560504,219.00,711647404,"Hoodie with an STWD front embroidery, a pouch pocket and long sleeves.","['Off white', 'Black', 'Blue', 'Navy', 'Bottle', 'Burgundy', 'Grey marl']",Clothing
https://www.pullandbear.com/ae/quilted-bomber-jacket-l07700503,219.00,714313902,"Quilted bomber jacket with zipper fastening, pockets and long sleeves.","['Navy', 'Black', 'Off white']",Clothing
https://www.pullandbear.com/ae/stwd-washed-hoodie-l07560517,269.00,711647406,"Hoodie available in various shades with a faded finish, with a contrast STWD embroidered logo, front pouch pocket and made from a cotton blend.","['Black', 'Brown', 'Grey', 'Ecru']",Clothing
